page,element,current_price,correct_price,status,evidence,last_checked
/ (live),Nav CTA,"$32/event","$32/event",correct,"live / line 1504",2026-04-03T15:35:00-04:00
/ (live),Hero pricing copy,"$32/event","$32/event",correct,"live / lines 1516-1520",2026-04-03T15:35:00-04:00
/ (live),Season Pass card amount,"$149/season pass","$149/season pass",correct,"live / lines 2444-2445",2026-04-03T15:35:00-04:00
/ (live),Footer season CTA,"Set Up Your Season — $149/season pass","Set Up Your Season — $149/season pass",correct,"live / lines 2799,2836",2026-04-03T15:35:00-04:00
/tour/ (live),Primary CTAs,"Set Up Your Event — $32/event","Set Up Your Event — $32/event",correct,"live /tour/ lines 131,210,272,304",2026-04-03T15:35:00-04:00
/tour/ (live),Comparison pricing row,"$149/season pass + $32/event","$149/season pass + $32/event",correct,"live /tour/ line 295",2026-04-03T15:35:00-04:00
/pricing/ (live),Meta description/title pricing,"$32/event or $149/season pass","$32/event or $149/season pass",correct,"live /pricing/ lines 7,11,12,22,23",2026-04-03T15:35:00-04:00
/pricing/ (live),Hero pricing headline,"$32/event or $149/season pass","$32/event or $149/season pass",correct,"live /pricing/ line 715",2026-04-03T15:35:00-04:00
/pricing/ (live),Season card period text,"$149/season pass","$149/season pass",correct,"live /pricing/ line 772",2026-04-03T15:35:00-04:00
/pricing/ (live),Season CTA button,"Set Up Your Season — $149/season pass","Set Up Your Season — $149/season pass",correct,"live /pricing/ lines 781,910",2026-04-03T15:35:00-04:00
/pricing/ (live),Season fallback strings in JS,"$149/season pass","$149/season pass",correct,"live /pricing/ lines 947,959,960,968",2026-04-03T15:35:00-04:00
/demo/ (live),Primary CTA,"Set Up Your Event — $32/event","Set Up Your Event — $32/event",correct,"live /demo/ line 448",2026-04-03T15:35:00-04:00
/demo/ (live),Supporting price text,"$32/event when you're ready","$32/event",correct,"live /demo/ line 451",2026-04-03T15:35:00-04:00
email templates (repo),Drip and outreach pricing references,"$32/event + $149/season pass","$32/event + $149/season pass",correct,"rg across emails/*.html and emails/outreach/*",2026-04-03T15:35:00-04:00
worker.js (repo),Canonical season checkout comment,"one-time $149 season pass","$149/season pass",correct,"worker.js:2802",2026-04-03T15:35:00-04:00
worker.js + pricing JS (live),Legacy premium price check,"No $199 found","No $199",correct,"rg/curl scans on core pages and worker",2026-04-03T15:35:00-04:00
repo source vs live,pricing wording drift,"Local source still shows '$149/season' in some files","Source should match '$149/season pass'",needs_sync,"local pricing/index.html and tour/index.html differ from live",2026-04-03T15:35:00-04:00
