"page","purpose","should_be_public","live_status","pricing_status","link_status","notes","checked_at"
"/","Homepage conversion entry","yes","307 -> /","mixed","working_with_redirect","Source still has '$149/season' and '$32' CTA shorthand.","2026-04-03 13:34 ET"
"/b/","Alternative homepage variant","yes","200","unknown","working","Route loads; pricing not fully audited in this pass.","2026-04-03 13:34 ET"
"/tour/","Product tour + comparison","yes","307 self-loop","mixed","broken","Live route blocked by redirect loop; source shows '$149/season' and '$32' shorthand CTAs.","2026-04-03 13:34 ET"
"/pricing/","Canonical pricing page","yes","404","incorrect","broken","Source exists but live endpoint returns 404.","2026-04-03 13:34 ET"
"/demo/","Demo launcher","yes","200","mixed","working","Loads; CTA uses '$32' shorthand, support line uses '$32/event'.","2026-04-03 13:34 ET"
"/create/","Event creation flow","yes","307 -> /create/","mixed","working_with_redirect","Source includes '$149/season' and '$32/event'.","2026-04-03 13:34 ET"
"/overview/","Product overview","yes","307 self-loop","n/a","degraded","Route returns 307 to itself.","2026-04-03 13:34 ET"
"/affiliate/","Legacy affiliate path","no (dup)","301 -> /affiliates/","n/a","redirecting","Duplicate canonicalization in place.","2026-04-03 13:34 ET"
"/affiliates/","Affiliate landing page","yes","200","not_audited","working","Active destination for affiliate funnel.","2026-04-03 13:34 ET"
"/pro/","Course-pro affiliate page","yes","200","incorrect","working","Still uses '$149 per scramble event' framing.","2026-04-03 13:34 ET"
"/marketing/","Legacy internal alias","no","404","n/a","not_public","Known exposure appears closed.","2026-04-03 13:34 ET"
"/gtm/","Legacy internal alias","no","404","n/a","not_public","Known exposure appears closed.","2026-04-03 13:34 ET"
"/ads/","Legacy internal alias","no","404","n/a","not_public","Known exposure appears closed.","2026-04-03 13:34 ET"
"/marketing-private/","Internal marketing hub","no","404","n/a","not_public","No longer publicly reachable.","2026-04-03 13:34 ET"
"/gtm-private/","Internal GTM docs","no","404","n/a","not_public","No longer publicly reachable.","2026-04-03 13:34 ET"
"/ads-private/","Internal ads docs","no","404","n/a","not_public","No longer publicly reachable.","2026-04-03 13:34 ET"
"/join/","Legacy signup alias","yes","301 -> /create/","n/a","redirecting","Known 404 not reproduced; now redirecting.","2026-04-03 13:34 ET"
"/about/","Legacy about alias","yes","301 -> /overview/","n/a","redirecting","Known 404 not reproduced; now redirecting.","2026-04-03 13:34 ET"
"/games/stroke-play/","Legacy game route","yes","301 -> /games/","n/a","redirecting","Known 404 not reproduced; now redirecting.","2026-04-03 13:34 ET"
"/games/round-robin/","Legacy game route","yes","301 -> /games/","n/a","redirecting","Known 404 not reproduced; now redirecting.","2026-04-03 13:34 ET"
"/games/chapman/","Legacy game route","yes","301 -> /games/","n/a","redirecting","Known 404 not reproduced; now redirecting.","2026-04-03 13:34 ET"
"/games/","Games catalog","yes","200","n/a","working","Included in sitemap and reachable.","2026-04-03 13:34 ET"
"/guides/","SEO guide index","yes","200","n/a","working","Included in sitemap and reachable.","2026-04-03 13:34 ET"
"/courses/","Course catalog","yes","200","n/a","working","Included in sitemap and reachable.","2026-04-03 13:34 ET"
"/register/","Registration flow","yes","200","n/a","working","Reachable.","2026-04-03 13:34 ET"
"/walkthrough/","Walkthrough page","yes","200","n/a","working","Reachable.","2026-04-03 13:34 ET"
"/partner/","Partner page","yes","307 self-loop","n/a","broken","Self-redirect behavior mirrors /tour and /overview.","2026-04-03 13:34 ET"
"/demo-buddies/","Interactive buddies demo","yes","200","n/a","working","Dashboard and settle tab present in HTML.","2026-04-03 13:34 ET"
"/demo-scramble/","Interactive scramble demo","yes","200","n/a","working","Demo route reachable.","2026-04-03 13:34 ET"
"/cards/skins/","Demo card route","yes","404","n/a","broken","Linked from /demo/ but returns 404.","2026-04-03 13:34 ET"
"/cards/nassau/","Demo card route","yes","404","n/a","broken","Linked from /demo/ but returns 404.","2026-04-03 13:34 ET"
"/cards/wolf/","Demo card route","yes","404","n/a","broken","Linked from /demo/ but returns 404.","2026-04-03 13:34 ET"
"/cards/match-play/","Demo card route","yes","404","n/a","broken","Linked from /demo/ but returns 404.","2026-04-03 13:34 ET"
"/cards/scramble/","Demo card route","yes","404","n/a","broken","Linked from /demo/ but returns 404.","2026-04-03 13:34 ET"
