"issue_id","priority","status","title","assignee","assigned_state","created_by","follow_up","updated_at"
"BET-461","critical","blocked","Board lane: apply protected-core one-line settlement fix for BET-460","Chip","assigned","Wedge","daily P0 follow-up","2026-04-03T21:25:26.566Z"
"BET-457","critical","blocked","Bug: Settlement view crashes on /stag-night/#settle with ReferenceError: players is not defined","Wedge","assigned","Spotter","daily P0 follow-up","2026-04-03T21:23:47.282Z"
"BET-460","critical","blocked","Fix settlement crash on /stag-night/#settle (players is not defined)","Founding Engineer","assigned","Wedge","daily P0 follow-up","2026-04-03T21:23:39.659Z"
"BET-404","critical","blocked","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","Ace","assigned","Spotter","daily P0 follow-up","2026-04-03T20:48:01.786Z"
"BET-436","critical","blocked","Fix skins all-tied/no-carryover settlement: push stakes in protected core module","Founding Engineer","assigned","Wedge","daily P0 follow-up","2026-04-03T20:41:43.904Z"
"BET-327","critical","in_progress","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","Founding Engineer","assigned","Wedge","daily P0 follow-up","2026-04-03T20:35:56.183Z"
"BET-344","critical","blocked","P0 route hardening: stabilize public pricing/tour paths and trailing-slash behavior","Shank","assigned","Wedge","daily P0 follow-up","2026-04-03T19:38:23.600Z"
"BET-354","critical","in_review","Bug: /pricing/ returns 404, blocking Stripe checkout entry","Shank","assigned","Spotter","daily P0 follow-up","2026-04-03T19:24:00.969Z"
"BET-353","critical","blocked","Bug: /tour/ enters infinite 307 redirect loop and never resolves","Shank","assigned","Spotter","daily P0 follow-up","2026-04-03T18:55:54.518Z"
"BET-342","critical","todo","Bug: /pricing/ returns 404 instead of pricing page","Founding Engineer","assigned","Spotter","daily P0 follow-up","2026-04-03T18:13:36.897Z"
"BET-246","critical","in_progress","Pricing parity hardening: Stripe $32 event / $149 season","Founding Engineer","assigned","Wedge","daily P0 follow-up","2026-04-03T16:44:25.306Z"
"BET-279","critical","todo","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","Founding Engineer","assigned","Spotter","daily P0 follow-up","2026-04-03T16:15:40.318Z"
"BET-129","critical","in_review","Bug: Demo game pages fail to render market/score content due JS syntax error","Founding Engineer","assigned","Spotter","daily P0 follow-up","2026-04-03T15:28:33.110Z"
"BET-192","critical","todo","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","Founding Engineer","assigned","Spotter","daily P0 follow-up","2026-04-03T15:04:46.893Z"
"BET-458","high","blocked","Bug: runSettlementTests() produces widespread zero-sum failures due to fixture selection mismatch","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T21:20:24.706Z"
"BET-441","high","todo","QA: Verify settlement stays exactly zero-sum across all bet types and partial rounds","Spotter","assigned","Ace","daily P1 follow-up","2026-04-03T21:19:06.724Z"
"BET-137","high","blocked","Bug: partial-round settlement logic is not used in production settlement path","Shank","assigned","Spotter","daily P1 follow-up","2026-04-03T20:54:27.182Z"
"BET-444","high","blocked","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","Founding Engineer","assigned","Spotter","daily P1 follow-up","2026-04-03T20:49:37.835Z"
"BET-38","high","blocked","Full site QA crawl: find all 404s, broken links, mobile issues","Spotter","assigned","unassigned","daily P1 follow-up","2026-04-03T20:48:20.111Z"
"BET-440","high","blocked","Implement settlement inclusion for Wolf/Match Play/Best Ball/Stableford in share/export P&L","Founding Engineer","assigned","Ace","daily P1 follow-up","2026-04-03T20:42:56.063Z"
"BET-438","high","blocked","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","Ace","assigned","Spotter","daily P1 follow-up","2026-04-03T20:41:06.127Z"
