url,purpose,public_vs_internal,http_status,redirect_location,link_status,pricing_check_scope,pricing_status
https://betwaggle.com/,Homepage,public,200,,working,requires_pricing_validation,correct_or_n/a
https://betwaggle.com/create/,Create flow,public,200,,working,requires_pricing_validation,correct_or_n/a
https://betwaggle.com/games/,Games hub,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/nassau/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/skins/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/scramble/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/best-ball/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/wolf/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/vegas/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/match-play/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/stableford/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/banker/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/bloodsome/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/games/bingo-bango-bongo/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/guides/,Guides hub,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/guides/how-to-run-a-charity-golf-scramble/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/guides/golf-trip-betting-formats/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/guides/how-to-settle-golf-bets/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/guides/best-golf-betting-games-for-a-foursome/,Public content page,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/overview/,Operations overview,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/demo/,Interactive demo,public,200,,working,requires_pricing_validation,correct_or_n/a
https://betwaggle.com/courses/,Courses library,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/my-events/,Event dashboard,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/affiliates/,Affiliate program,public,200,,working,n/a,correct_or_n/a
https://betwaggle.com/tour/,Tour/feature walkthrough,public,307,/tour/,redirect,requires_pricing_validation,blocked_route_loop
https://betwaggle.com/pricing/,Pricing page,public,404,,broken,requires_pricing_validation,blocked_404
https://betwaggle.com/affiliate/,Affiliate alias,public,301,https://betwaggle.com/affiliates/,redirect,n/a,correct_or_n/a
https://betwaggle.com/marketing/,Internal docs alias,internal_should_be_private,404,,broken,n/a,correct_or_n/a
https://betwaggle.com/gtm/,Internal GTM alias,internal_should_be_private,404,,broken,n/a,correct_or_n/a
https://betwaggle.com/ads/,Internal ads alias,internal_should_be_private,404,,broken,n/a,correct_or_n/a
https://betwaggle.com/join/,Legacy join route,public,301,https://betwaggle.com/create/,redirect,n/a,correct_or_n/a
https://betwaggle.com/about/,Legacy about route,public,301,https://betwaggle.com/overview/,redirect,n/a,correct_or_n/a
https://betwaggle.com/games/stroke-play/,Legacy game page,public,301,https://betwaggle.com/games/,redirect,n/a,correct_or_n/a
https://betwaggle.com/games/round-robin/,Legacy game page,public,301,https://betwaggle.com/games/,redirect,n/a,correct_or_n/a
https://betwaggle.com/games/chapman/,Legacy game page,public,301,https://betwaggle.com/games/,redirect,n/a,correct_or_n/a
