"identifier","title","priority","status","assignee","created_by","updated_at","tracking_note"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","blocked","c36a36d6-567b-415a-bd2b-e786a1748d15","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:31:03.353Z","FOLLOW-UP: daily status check"
"BET-355","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:26:00.828Z","FOLLOW-UP: daily status check"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:26:00.649Z","FOLLOW-UP: daily status check"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:26:00.597Z","FOLLOW-UP: daily status check"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:13:36.897Z","FOLLOW-UP: daily status check"
"BET-347","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:09:47.807Z","FOLLOW-UP: daily status check"
"BET-336","Bug: Email capture API returns 500 for valid and duplicate submissions","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T17:53:08.084Z","FOLLOW-UP: daily status check"
"BET-312","QA: Verify /api/email-capture 500 fix + idempotent duplicate-submit behavior","critical","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T17:44:00.009Z","FOLLOW-UP: daily status check"
"BET-308","Bug: Email capture API returns 500 for valid email submissions","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:48:02.425Z","FOLLOW-UP: daily status check"
"BET-314","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:44:07.729Z","FOLLOW-UP: daily status check"
"BET-313","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:44:07.558Z","FOLLOW-UP: daily status check"
"BET-304","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:39:14.135Z","FOLLOW-UP: daily status check"
"BET-298","Bug: /create/ enters infinite redirect loop and blocks signup checkout","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:46.553Z","FOLLOW-UP: daily status check"
"BET-297","Bug: Redirect loop on /tour/ prevents page load","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:26:46.259Z","FOLLOW-UP: daily status check"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T16:15:40.318Z","FOLLOW-UP: daily status check"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:43:16.120Z","FOLLOW-UP: daily status check"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:28:33.110Z","FOLLOW-UP: daily status check"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T15:04:46.893Z","FOLLOW-UP: daily status check"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","35944e2b-5356-4b0c-8a24-6a850299b788","2026-04-03T18:31:54.965Z","FOLLOW-UP: daily status check"
"BET-352","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","high","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T18:31:15.765Z","FOLLOW-UP: daily status check"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","c36a36d6-567b-415a-bd2b-e786a1748d15","2026-04-03T18:30:12.945Z","FOLLOW-UP: daily status check"
"BET-358","Bug: Create flow review card shows $29 for event pricing instead of $32/event","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:29:54.460Z","FOLLOW-UP: daily status check"
"BET-356","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:25:35.573Z","FOLLOW-UP: daily status check"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:23:07.648Z","FOLLOW-UP: daily status check"
"BET-346","Bug: Homepage and demo 'See it in action' links route to 404 card pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T18:09:14.480Z","FOLLOW-UP: daily status check"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T17:51:04.163Z","FOLLOW-UP: daily status check"
"BET-339","Bug: Settlement P&L computation omits best ball mode","high","backlog","65731875-1c15-4442-883d-af847186f81e","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T17:50:03.944Z","FOLLOW-UP: daily status check"
"BET-337","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T17:50:03.732Z","FOLLOW-UP: daily status check"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","87fcc8b8-b4b9-4a33-8358-c49179985317","2026-04-03T17:46:42.045Z","FOLLOW-UP: daily status check"
