"identifier","title","priority","status","assignee","assignment_status","p_level","updated_at"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","Shank","assigned","P0","2026-04-03T15:43:16.120Z"
"BET-297","Bug: Redirect loop on /tour/ prevents page load","critical","backlog","Founding Engineer","assigned","P0","2026-04-03T16:26:46.259Z"
"BET-298","Bug: /create/ enters infinite redirect loop and blocks signup checkout","critical","backlog","Founding Engineer","assigned","P0","2026-04-03T16:26:46.553Z"
"BET-304","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","critical","backlog","Founding Engineer","assigned","P0","2026-04-03T18:50:14.799Z"
"BET-313","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","critical","backlog","Founding Engineer","assigned","P0","2026-04-03T16:44:07.558Z"
"BET-314","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","critical","backlog","Shank","assigned","P0","2026-04-03T16:44:07.729Z"
"BET-336","Bug: Email capture API returns 500 for valid and duplicate submissions","critical","backlog","Shank","assigned","P0","2026-04-03T17:53:08.084Z"
"BET-347","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","critical","backlog","Shank","assigned","P0","2026-04-03T18:09:47.807Z"
"BET-360","Bug: /tour/ route stuck in infinite self-redirect loop","critical","backlog","Shank","assigned","P0","2026-04-03T18:44:01.202Z"
"BET-361","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","critical","backlog","Founding Engineer","assigned","P0","2026-04-03T18:44:01.225Z"
"BET-369","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","critical","backlog","Wedge","assigned","P0","2026-04-03T19:13:27.716Z"
"BET-376","Bug: Settlement math path for stableford/match play references undefined function and can crash","critical","backlog","Ace","assigned","P0","2026-04-03T19:25:11.716Z"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","Shank","assigned","P0","2026-04-03T18:55:54.518Z"
"BET-404","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","critical","blocked","Ace","assigned","P0","2026-04-03T20:48:01.786Z"
"BET-457","Bug: Settlement view crashes on /stag-night/#settle with ReferenceError: players is not defined","critical","blocked","Wedge","assigned","P0","2026-04-03T21:23:47.282Z"
