page,element,current_price,correct_price,status,evidence
/,Primary CTA labels,"Set Up Your Event — $32","Set Up Your Event — $32 (approved CTA shorthand)",correct,index.html:1438|1452|2313|2359|2373|2388|2727|2732|2756|2768
/,Season price label,"$149/season","$149/season pass",incorrect,index.html:2378|2733|2770
/tour/,Page availability,"307 self-redirect loop","Page should return 200 and show canonical pricing",incorrect,live HEAD 2026-04-03 shows location:/tour/
/tour/ (source),Event CTA labels,"Set Up Your Event — $32","Set Up Your Event — $32 (approved CTA shorthand)",correct,tour/index.html:131|210|272|304
/tour/ (source),Season price row,"$149/season","$149/season pass",incorrect,tour/index.html:295
/pricing/,Page availability,"404 Event Not Found","Page should return 200 with canonical pricing",incorrect,live GET 2026-04-03 returns 404
/pricing/ (source),Meta + hero + table season copy,"$149/season","$149/season pass",incorrect,pricing/index.html:7|11|12|22|23|715|789|847|871
/pricing/ (source),CTA + prompt + banner season copy,"Set Up Your Season — $149/season","Set Up Your Season — $149/season pass",incorrect,pricing/index.html:781|910|947|959|960|968
/demo/,Primary CTA label,"Set Up Your Event — $32","Set Up Your Event — $32 (approved CTA shorthand)",correct,demo/index.html:448
/demo/,Support price copy,"$32/event","$32/event",correct,demo/index.html:451
/create/ (source),Season labels,"$149/season","$149/season pass",incorrect,create/index.html:477|2570
/create/ (live),Page availability,"307 self-redirect loop","Page should return 200 for conversion",incorrect,live HEAD 2026-04-03 shows location:/create/
/worker.js,Stripe/public labels,"$149/season and $32","$149/season pass and $32/event",incorrect,worker.js:1980|1983|4084|4089
/worker.js,Legacy event price,"$29 references remain in open bugs","$32/event",incorrect,tracked in BET-132 and BET-266
/emails/SEQUENCE.md,Style guide season copy,"$149/season","$149/season pass",incorrect,emails/SEQUENCE.md:25
/emails/outreach/ca-golf-sequence.html,Season copy,"$149/season","$149/season pass",incorrect,lines 12|42|92
/emails/outreach/fl-charity-sequence.html,Season copy,"$149/season","$149/season pass",incorrect,line 38
/emails/affiliate-welcome.html,Season copy,"$149/season","$149/season pass",incorrect,line 50
/emails/outreach/sc-nc-premium-sequence.html,Season copy,"$149/season pass","$149/season pass",correct,lines 11|37|81
