"issue_id","title","priority","status","assignee","assigned_state","qa_owner","updated_at"
"BET-120","Implement edge access control for private/admin routes","critical","todo","Shank","assigned","non-spotter","2026-04-03T15:56:11.728Z"
"BET-262","Bug: /api/checkout creates Stripe session for nonexistent eventSlug","critical","todo","Shank","assigned","non-spotter","2026-04-03T15:55:23.175Z"
"BET-246","Pricing parity hardening: Stripe $32 event / $149 season","critical","in_progress","Founding Engineer","assigned","non-spotter","2026-04-03T15:55:10.568Z"
"BET-132","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","critical","blocked","Shank","assigned","non-spotter","2026-04-03T15:52:06.359Z"
"BET-244","Bug: Private routes are publicly accessible at top-level paths","critical","backlog","Shank","assigned","non-spotter","2026-04-03T15:47:36.031Z"
"BET-251","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","critical","backlog","Shank","assigned","non-spotter","2026-04-03T15:43:16.120Z"
"BET-234","Bug: Season pass checkout fails with 'Subscription pricing not configured'","critical","todo","Shank","assigned","non-spotter","2026-04-03T15:41:24.726Z"
"BET-233","Bug: Private/admin routes are publicly accessible instead of returning 404","critical","todo","Shank","assigned","non-spotter","2026-04-03T15:38:54.630Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","Founding Engineer","assigned","non-spotter","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:04:46.893Z"
"BET-76","Configure hello@betwaggle.com email routing","critical","blocked","Shank","assigned","non-spotter","2026-04-03T14:17:13.310Z"
"BET-114","Backend hardening: lock down commissioner + affiliate + seed endpoints","critical","backlog","Shank","assigned","non-spotter","2026-04-03T14:17:07.323Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:58:52.683Z"
"BET-261","Sprint 3 UX closeout against game-flow spec","high","blocked","Founding Engineer","assigned","non-spotter","2026-04-03T15:58:38.461Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","Spotter","assigned","spotter","2026-04-03T15:58:18.144Z"
"BET-248","Final pricing copy consistency audit before publish","high","todo","Caddie","assigned","non-spotter","2026-04-03T15:58:06.307Z"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:57:41.964Z"
"BET-226","WRITE CODE: Generate cold emails for GA golf (Atlanta + Sea Island)","high","in_progress","Birdie","assigned","non-spotter","2026-04-03T15:56:31.115Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","Founding Engineer","assigned","non-spotter","2026-04-03T15:55:21.054Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","Spotter","assigned","spotter","2026-04-03T15:55:04.439Z"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","Spotter","assigned","spotter","2026-04-03T15:54:59.365Z"
