page,element,current_price,correct_price,status,evidence,notes
/,primary_event_ctas,"$32","$32/event",copy_mismatch,"live / lines 1427|1441|2348|2362|2716|2721|2745|2757",CTA shorthand omits /event
/,season_ctas,"$149/season","$149/season pass",copy_mismatch,"live / lines 2367|2722|2759",Season wording missing pass
/,event_support_copy,"$32/event","$32/event",correct,"live / lines 1439|1443|2352|2400|2717",Canonical event copy present in support text
/tour/,event_ctas,"$32","$32/event",copy_mismatch,"live /tour/ lines 131|210|272|304",CTA shorthand omits /event
/tour/,pricing_table,"$149/season + $32/event","$149/season pass + $32/event",copy_mismatch,"live /tour/ line 295",Season wording missing pass
/tour/,legacy_price_check,"No $199 found","No $199",correct,"live /tour/ grep 2026-04-03",Known $199 issue not reproduced today
/pricing/,event_ctas,"$32","$32/event",copy_mismatch,"live /pricing/ lines 707|741|762|899|909",CTA shorthand omits /event
/pricing/,season_ctas,"$149/season","$149/season pass",copy_mismatch,"live /pricing/ lines 781|910|947|959|960|968",Season wording missing pass across CTA and JS prompt/alerts
/pricing/,hero_meta_table,"$149/season","$149/season pass",copy_mismatch,"live /pricing/ lines 7|11|12|22|23|715|789|847|871",Metadata and on-page copy use /season
/pricing/,legacy_price_check,"No $199 and no $9.99/mo found","No legacy pricing",correct,"live /pricing/ grep 2026-04-03",Historic conflict not reproduced today
/demo/,primary_event_cta,"$32","$32/event",copy_mismatch,"live /demo/ line 448",CTA shorthand omits /event
/demo/,support_copy,"$32/event","$32/event",correct,"live /demo/ line 451",Canonical event copy present
/create/ (source),event_price_logic,"$29","$32/event",incorrect,"create/index.html legacy references tracked in BET-132/BET-266",Hardcoded legacy event amount still tracked as open critical/high bugs
/create/ (source),season_label,"$149/season","$149/season pass",copy_mismatch,"create/index.html lines 477|2570",Season wording missing pass
/worker.js (source),checkout_labels,"$149/season + $32","$149/season pass + $32/event",copy_mismatch,"worker.js lines 1969|1971|1972",Stripe labels use shorthand/outdated season phrase
/worker.js (source),ad_prompt_copy,"$149/season","$149/season pass",copy_mismatch,"worker.js lines 4063|4068",Generated ad copy uses /season
/emails/,core_drip_event_copy,"$32/event","$32/event",correct,"emails/drip-01/02/03/04/05 and outreach templates",Event pricing consistent in core drip templates
/emails/,season_copy_set_a,"$149/season","$149/season pass",copy_mismatch,"emails/outreach/ca-golf-sequence.html lines 12|42|92; fl-charity-sequence.html line 38; affiliate-welcome.html line 50",Season wording missing pass
/emails/,season_copy_set_b,"$149/season pass","$149/season pass",correct,"emails/outreach/sc-nc-premium-sequence.html lines 11|37|81",Template already canonical
