page,element,current_price_or_copy,correct_price,status,evidence
/,Homepage pricing card (Season Pass),$149/season,$149/season pass,incorrect,index.html:2487
/,Homepage pricing period copy,"$149/season, unlimited events & players","$149/season pass, unlimited events & players",incorrect,index.html:2488
/tour/,Tour comparison pricing row Season Pass,$149/season,$149/season pass,incorrect,tour/index.html:295
/tour/,Tour comparison pricing row Buddies,$32/event,$32/event,correct,tour/index.html:295
/pricing/,Hero and metadata season copy,$149/season,$149/season pass,incorrect,pricing/index.html:7|11|12|22|23|728
/pricing/,Season CTA button,"Set Up Your Season — $149/season","Set Up Your Season — $149/season pass",incorrect,pricing/index.html:794
/pricing/,Season comparison row,$149/season,$149/season pass,incorrect,pricing/index.html:860
/pricing/,Season onboarding prompt,"Enter your email to lock in $149/season","Enter your email to lock in $149/season pass",incorrect,pricing/index.html:959
/pricing/,Event CTA,$32/event,$32/event,correct,pricing/index.html:754|775|912
/demo/,Primary demo CTA,"Set Up Your Event — $32/event","Set Up Your Event — $32/event",correct,demo/index.html:448
/demo/,Demo pricing subcopy,"$32/event when you are ready","$32/event when you are ready",correct,demo/index.html:451
/create/,Scramble badge,$149/season,$149/season pass,incorrect,create/index.html:494
/create/,Review card season price,$149/season,$149/season pass,incorrect,create/index.html:2642
/create/,Quick flow event price,$32/event,$32/event,correct,create/index.html:2374
/emails/drip-01-welcome.html,Drip pricing body,$32/event,$32/event,correct,emails/drip-01-welcome.html:35
/emails/drip-02-social-proof.html,Drip pricing body,$32/event,$32/event,correct,emails/drip-02-social-proof.html:35
/emails/affiliate-welcome.html,Affiliate season pricing,$149/season pass,$149/season pass,correct,emails/affiliate-welcome.html:50
/emails/outreach/fl-charity-sequence.html,Outreach season pricing,$149/season pass option,$149/season pass option,correct,emails/outreach/fl-charity-sequence.html:38
/emails/outreach/sc-nc-premium-sequence.html,Outreach season pricing,$149/season pass,$149/season pass,correct,emails/outreach/sc-nc-premium-sequence.html:37
/emails/SEQUENCE.md,Pricing style guide row,"Always $32/event or $149/season pass","Always $32/event or $149/season pass",correct,emails/SEQUENCE.md:25
codebase-global,Legacy $199 references,0 occurrences,0 occurrences,correct,"rg -n '\$199' (no matches)"
