"identifier","title","priority","status","assignment","updatedAt"
"BET-323","Demo auto-simulation execution: make demo boards visibly live end-to-end","critical","in_progress","assigned","2026-04-03T17:34:30.915Z"
"BET-327","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","critical","todo","assigned","2026-04-03T17:34:20.838Z"
"BET-326","Backend completion: /api/email-capture must trigger Resend drip pipeline reliably","critical","todo","assigned","2026-04-03T17:34:20.716Z"
"BET-322","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","critical","in_progress","assigned","2026-04-03T17:32:59.307Z"
"BET-312","QA: Verify /api/email-capture 500 fix + idempotent duplicate-submit behavior","critical","todo","assigned","2026-04-03T16:56:37.558Z"
"BET-311","QA: Verify /create redirect-loop hotfix on mobile + desktop (including checkout entry)","critical","todo","assigned","2026-04-03T16:56:18.697Z"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","blocked","assigned","2026-04-03T16:55:26.572Z"
"BET-295","Fix /tour redirect loop at edge and deploy","critical","todo","assigned","2026-04-03T16:47:31.140Z"
"BET-132","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","critical","blocked","assigned","2026-04-03T16:46:35.335Z"
"BET-246","Pricing parity hardening: Stripe $32 event / $149 season","critical","in_progress","assigned","2026-04-03T16:44:25.306Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","assigned","2026-04-03T16:15:40.318Z"
"BET-285","Bug: /create/ and /overview/ are stuck in self-redirect loops in production","critical","todo","unassigned","2026-04-03T16:11:38.242Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","assigned","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","assigned","2026-04-03T15:04:46.893Z"
"BET-76","Configure hello@betwaggle.com email routing","critical","blocked","assigned","2026-04-03T14:17:13.310Z"
"BET-324","Odds simulation math + selection-state safety for live demo movement","high","in_progress","assigned","2026-04-03T17:34:37.015Z"
"BET-325","DraftKings-style odds interaction polish: 56px tap targets + instant feedback","high","in_progress","assigned","2026-04-03T17:34:29.421Z"
"BET-321","P0 WRITE CODE: Wire enriched leads into the outreach admin dashboard","high","todo","assigned","2026-04-03T17:03:57.577Z"
"BET-320","P0 WRITE CODE: Build top 30 TX courses list with websites for outreach","high","todo","assigned","2026-04-03T17:03:50.553Z"
"BET-319","P0 WRITE CODE: Build top 50 FL courses list with websites for immediate outreach","high","todo","assigned","2026-04-03T17:03:41.567Z"
"BET-318","P0 WRITE CODE: Enrich 80 course leads with real website URLs and emails","high","todo","assigned","2026-04-03T17:03:39.934Z"
"BET-293","Mobile-first betting card readability + tap-target polish on create flow","high","in_review","assigned","2026-04-03T16:55:58.242Z"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","todo","assigned","2026-04-03T16:55:14.424Z"
"BET-289","QA pass: validate CTA destinations and link integrity","high","todo","assigned","2026-04-03T16:54:45.089Z"
"BET-284","QA sweep: CTA links + blocked internal routes + affiliate canonical redirect","high","todo","assigned","2026-04-03T16:54:30.328Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","assigned","2026-04-03T16:54:13.577Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","assigned","2026-04-03T16:52:26.141Z"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","assigned","2026-04-03T16:52:08.715Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","assigned","2026-04-03T16:51:53.375Z"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","assigned","2026-04-03T16:50:22.823Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","assigned","2026-04-03T16:50:03.511Z"
"BET-238","CTO Execution Matrix: P1-P5 priority closeout coordination","high","in_progress","assigned","2026-04-03T16:49:59.989Z"
"BET-226","WRITE CODE: Generate cold emails for GA golf (Atlanta + Sea Island)","high","in_progress","assigned","2026-04-03T16:49:22.026Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","assigned","2026-04-03T16:48:34.704Z"
"BET-185","Backend: wire /api/checkout + drip cadence + webhook/D1 payment marking","high","blocked","assigned","2026-04-03T16:48:34.069Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","assigned","2026-04-03T16:47:30.537Z"
"BET-290","Lock down internal marketing routes (/marketing, /gtm, /ads) with auth + 404 guard","high","todo","assigned","2026-04-03T16:46:55.264Z"
"BET-133","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","high","in_review","assigned","2026-04-03T16:46:51.944Z"
"BET-288","Implement drip trigger wiring for 5-email nurture cadence","high","todo","assigned","2026-04-03T16:46:38.030Z"
"BET-283","Confirm email drip API + sequence deployment hooks","high","todo","assigned","2026-04-03T16:46:20.701Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","assigned","2026-04-03T16:46:02.325Z"
"BET-24","Implement Sprint 3 cards + round-scoring UX from approved design spec","high","in_review","assigned","2026-04-03T16:45:43.528Z"
"BET-287","Pricing consistency verification after $32/event + $149/season sweep","high","todo","unassigned","2026-04-03T16:45:26.123Z"
"BET-261","Sprint 3 UX closeout against game-flow spec","high","in_review","assigned","2026-04-03T16:41:14.385Z"
"BET-269","WRITE CODE: Enrich course leads with website URLs via Google search pattern","high","in_progress","assigned","2026-04-03T16:39:22.573Z"
"BET-225","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","high","blocked","assigned","2026-04-03T16:35:19.799Z"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","assigned","2026-04-03T16:24:00.881Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","assigned","2026-04-03T16:23:49.664Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","assigned","2026-04-03T16:04:34.140Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","assigned","2026-04-03T16:02:30.729Z"
"BET-256","DraftKings-style tappable odds UX across betting surfaces","high","todo","assigned","2026-04-03T15:54:45.122Z"
"BET-113","Access control: internal pages with -private suffix are publicly reachable","high","blocked","assigned","2026-04-03T15:52:01.880Z"
"BET-227","WRITE CODE: Generate cold emails for NY golf (Westchester + Long Island)","high","in_progress","assigned","2026-04-03T15:41:51.955Z"
"BET-212","Unblock Shank checkout conflicts on assigned backend tickets","high","blocked","assigned","2026-04-03T15:31:47.883Z"
"BET-216","Mitigation: normalize exposed private-page pricing copy to canonical offer","high","todo","assigned","2026-04-03T15:16:29.648Z"
"BET-195","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","high","in_progress","assigned","2026-04-03T15:14:10.774Z"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","assigned","2026-04-03T15:10:30.087Z"
"BET-89","Shareable settlement card: screenshot-optimized HTML for group chat","high","in_review","assigned","2026-04-03T15:00:46.576Z"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","assigned","2026-04-03T14:53:06.958Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","assigned","2026-04-03T14:44:50.377Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","assigned","2026-04-03T14:44:44.360Z"
"BET-145","P0 FIX: vegas/banker/bloodsome bets never settle — trace and fix","high","blocked","assigned","2026-04-03T14:41:49.253Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","assigned","2026-04-03T14:32:15.112Z"
"BET-65","Build automated scramble season outreach campaign (May-Oct)","high","blocked","assigned","2026-04-03T14:19:06.773Z"
"BET-77","Configure Cloudflare Email Routing for hello@betwaggle.com","high","blocked","assigned","2026-04-03T14:19:02.323Z"
"BET-105","Generate state-specific cold emails for AZ resort golf","high","blocked","assigned","2026-04-03T14:18:39.208Z"
"BET-149","Generate cold emails for CA golf (Palm Springs/Bay Area)","high","todo","assigned","2026-04-03T14:18:10.843Z"
"BET-155","P0 FIX: Vegas/Banker/Bloodsome bets never settle","high","blocked","assigned","2026-04-03T14:17:48.306Z"
"BET-165","Write cold email sequence for SC/NC Pinehurst/Kiawah corridor","high","blocked","assigned","2026-04-03T14:17:33.918Z"
"BET-84","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","high","in_review","assigned","2026-04-03T12:57:07.709Z"
"BET-90","Venmo deep links on settlement: pre-filled pay buttons per player","high","in_review","assigned","2026-04-03T12:52:03.276Z"
"BET-81","Stitch: Skins card 'The Auction House' — gold pot stacking, trophy reveals","high","in_review","assigned","2026-04-03T12:47:53.460Z"
"BET-82","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","high","in_review","assigned","2026-04-03T12:46:33.622Z"
"BET-83","Stitch: Wolf card 'The War Room' — circular rotation wheel, alliance timeline","high","in_review","assigned","2026-04-03T12:44:59.711Z"
"BET-44","Stitch: Redesign homepage hero with Heritage Sporting design system","high","in_review","assigned","2026-04-02T23:34:10.352Z"
"BET-62","Build course lead database from courses API + state/region segmentation","high","todo","assigned","2026-04-02T23:25:52.590Z"
