"identifier","priority","status","assignee","title","updated_at"
"BET-404","critical","blocked","Ace","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","2026-04-03T19:49:59.442Z"
"BET-376","critical","backlog","Ace","Bug: Settlement math path for stableford/match play references undefined function and can crash","2026-04-03T19:25:11.716Z"
"BET-354","critical","in_review","Shank","Bug: /pricing/ returns 404, blocking Stripe checkout entry","2026-04-03T19:24:00.969Z"
"BET-369","critical","backlog","Wedge","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","2026-04-03T19:13:27.716Z"
"BET-353","critical","blocked","Shank","Bug: /tour/ enters infinite 307 redirect loop and never resolves","2026-04-03T18:55:54.518Z"
"BET-304","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","2026-04-03T18:50:14.799Z"
"BET-308","critical","backlog","Shank","Bug: Email capture API returns 500 for valid email submissions","2026-04-03T18:49:53.806Z"
"BET-361","critical","backlog","Founding Engineer","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","2026-04-03T18:44:01.225Z"
"BET-360","critical","backlog","Shank","Bug: /tour/ route stuck in infinite self-redirect loop","2026-04-03T18:44:01.202Z"
"BET-342","critical","todo","Founding Engineer","Bug: /pricing/ returns 404 instead of pricing page","2026-04-03T18:13:36.897Z"
"BET-347","critical","backlog","Shank","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","2026-04-03T18:09:47.807Z"
"BET-336","critical","backlog","Shank","Bug: Email capture API returns 500 for valid and duplicate submissions","2026-04-03T17:53:08.084Z"
"BET-314","critical","backlog","Shank","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","2026-04-03T16:44:07.729Z"
"BET-313","critical","backlog","Founding Engineer","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","2026-04-03T16:44:07.558Z"
"BET-298","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop and blocks signup checkout","2026-04-03T16:26:46.553Z"
"BET-297","critical","backlog","Founding Engineer","Bug: Redirect loop on /tour/ prevents page load","2026-04-03T16:26:46.259Z"
"BET-279","critical","todo","Founding Engineer","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","2026-04-03T16:15:40.318Z"
"BET-251","critical","backlog","Shank","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","2026-04-03T15:43:16.120Z"
"BET-129","critical","in_review","Founding Engineer","Bug: Demo game pages fail to render market/score content due JS syntax error","2026-04-03T15:28:33.110Z"
