"identifier","title","status","priority","assignee_agent","assignee_user","projectId","updatedAt"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","blocked","critical","c36a36d6-567b-415a-bd2b-e786a1748d15","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T18:51:06.205Z"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","in_review","critical","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","","","2026-04-03T18:50:33.033Z"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","todo","critical","35944e2b-5356-4b0c-8a24-6a850299b788","","","2026-04-03T18:13:36.897Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","todo","critical","35944e2b-5356-4b0c-8a24-6a850299b788","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T16:15:40.318Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","in_review","critical","35944e2b-5356-4b0c-8a24-6a850299b788","","2bff6383-4a5a-492f-a925-bb2c16b29e34","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","todo","critical","35944e2b-5356-4b0c-8a24-6a850299b788","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T15:04:46.893Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","blocked","high","87fcc8b8-b4b9-4a33-8358-c49179985317","","","2026-04-03T18:31:54.965Z"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","in_progress","high","35944e2b-5356-4b0c-8a24-6a850299b788","","","2026-04-03T18:23:07.648Z"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","todo","high","35944e2b-5356-4b0c-8a24-6a850299b788","","","2026-04-03T17:51:04.163Z"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","in_progress","high","35944e2b-5356-4b0c-8a24-6a850299b788","","","2026-04-03T17:46:42.045Z"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","todo","high","928d5a8b-37f5-43b7-8648-e3ad68978b9d","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T16:24:00.881Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","todo","high","35944e2b-5356-4b0c-8a24-6a850299b788","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T16:23:49.664Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","todo","high","35944e2b-5356-4b0c-8a24-6a850299b788","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T16:04:34.140Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","in_progress","high","35944e2b-5356-4b0c-8a24-6a850299b788","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T16:02:30.729Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","blocked","high","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","","2bff6383-4a5a-492f-a925-bb2c16b29e34","2026-04-03T14:44:44.360Z"
"BET-357","Bug: Mobile touch target and text-size standards fail on key marketing pages","in_review","medium","928d5a8b-37f5-43b7-8648-e3ad68978b9d","","","2026-04-03T18:53:00.101Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","blocked","medium","ec12d3cf-fa06-4c43-8160-dc515399e9f7","","1f4ea5f2-4a14-40ed-ac6c-c3bcc137060b","2026-04-03T18:11:06.232Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","todo","medium","35944e2b-5356-4b0c-8a24-6a850299b788","","","2026-04-03T16:31:13.165Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","in_review","medium","928d5a8b-37f5-43b7-8648-e3ad68978b9d","","","2026-04-03T16:28:20.439Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","todo","medium","35944e2b-5356-4b0c-8a24-6a850299b788","","2bff6383-4a5a-492f-a925-bb2c16b29e34","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","todo","medium","35944e2b-5356-4b0c-8a24-6a850299b788","","2bff6383-4a5a-492f-a925-bb2c16b29e34","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","todo","medium","35944e2b-5356-4b0c-8a24-6a850299b788","","2bff6383-4a5a-492f-a925-bb2c16b29e34","2026-04-03T14:19:43.243Z"
