identifier,priority,status,assignee,title,updated_at
"BET-322","critical","in_progress","Wedge","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","2026-04-03T19:38:32.700Z"
"BET-344","critical","blocked","Shank","P0 route hardening: stabilize public pricing/tour paths and trailing-slash behavior","2026-04-03T19:38:23.600Z"
"BET-323","critical","in_progress","Founding Engineer","Demo auto-simulation execution: make demo boards visibly live end-to-end","2026-04-03T19:38:23.587Z"
"BET-355","critical","in_progress","Founding Engineer","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","2026-04-03T19:37:19.111Z"
"BET-327","critical","in_progress","Founding Engineer","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","2026-04-03T19:37:19.063Z"
"BET-376","critical","backlog","Ace","Bug: Settlement math path for stableford/match play references undefined function and can crash","2026-04-03T19:25:11.716Z"
"BET-132","critical","blocked","Shank","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","2026-04-03T19:24:35.935Z"
"BET-354","critical","in_review","Shank","Bug: /pricing/ returns 404, blocking Stripe checkout entry","2026-04-03T19:24:00.969Z"
"BET-369","critical","backlog","Wedge","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","2026-04-03T19:13:27.716Z"
"BET-353","critical","blocked","Shank","Bug: /tour/ enters infinite 307 redirect loop and never resolves","2026-04-03T18:55:54.518Z"
"BET-304","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","2026-04-03T18:50:14.799Z"
"BET-308","critical","backlog","Shank","Bug: Email capture API returns 500 for valid email submissions","2026-04-03T18:49:53.806Z"
"BET-361","critical","backlog","Founding Engineer","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","2026-04-03T18:44:01.225Z"
"BET-360","critical","backlog","Shank","Bug: /tour/ route stuck in infinite self-redirect loop","2026-04-03T18:44:01.202Z"
"BET-342","critical","todo","Founding Engineer","Bug: /pricing/ returns 404 instead of pricing page","2026-04-03T18:13:36.897Z"
"BET-347","critical","backlog","Shank","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","2026-04-03T18:09:47.807Z"
"BET-336","critical","backlog","Shank","Bug: Email capture API returns 500 for valid and duplicate submissions","2026-04-03T17:53:08.084Z"
"BET-246","critical","in_progress","Founding Engineer","Pricing parity hardening: Stripe $32 event / $149 season","2026-04-03T16:44:25.306Z"
"BET-314","critical","backlog","Shank","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","2026-04-03T16:44:07.729Z"
"BET-313","critical","backlog","Founding Engineer","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","2026-04-03T16:44:07.558Z"
"BET-298","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop and blocks signup checkout","2026-04-03T16:26:46.553Z"
"BET-297","critical","backlog","Founding Engineer","Bug: Redirect loop on /tour/ prevents page load","2026-04-03T16:26:46.259Z"
"BET-279","critical","todo","Founding Engineer","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","2026-04-03T16:15:40.318Z"
"BET-251","critical","backlog","Shank","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","2026-04-03T15:43:16.120Z"
"BET-129","critical","in_review","Founding Engineer","Bug: Demo game pages fail to render market/score content due JS syntax error","2026-04-03T15:28:33.110Z"
"BET-192","critical","todo","Founding Engineer","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","2026-04-03T15:04:46.893Z"
"BET-76","critical","blocked","Shank","Configure hello@betwaggle.com email routing","2026-04-03T14:17:13.310Z"
"BET-398","high","todo","Founding Engineer","Betting engine v2: in-play Bayesian odds, odds delta payload, and cent-safe zero-sum settlement","2026-04-03T19:42:33.518Z"
"BET-380","high","in_progress","Shank","WRITE CODE: Enrich existing 80 leads with website URLs","2026-04-03T19:42:27.235Z"
"BET-391","high","blocked","Ace","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","2026-04-03T19:42:16.346Z"
"BET-379","high","in_progress","Birdie","WRITE CODE: Build TX priority leads with real course websites","2026-04-03T19:41:56.752Z"
"BET-386","high","blocked","Caddie","Pricing audit sign-off for core marketing pages","2026-04-03T19:41:46.604Z"
"BET-399","high","blocked","Chip","Ops blocker: queued execution locks prevent Caddie checkout on assigned audits","2026-04-03T19:41:14.494Z"
"BET-365","high","in_progress","Spotter","Mobile UX hardening pass: eliminate overflow and raise tap/typography readability on key pages","2026-04-03T19:39:21.531Z"
"BET-377","high","backlog","Divot","Bug: Both /affiliate/ and /affiliates/ are live 200 routes causing duplicate canonical paths","2026-04-03T19:37:07.874Z"
