identifier,title,priority,status,assignee,assignment_state,follow_up
"BET-312","QA: Verify /api/email-capture 500 fix + idempotent duplicate-submit behavior","critical","blocked","Spotter","assigned_to_spotter","daily"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned_other","daily"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-38","Full site QA crawl: find all 404s; broken links; mobile issues","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-53","Verify and test Stripe end-to-end: create event; pay; activate","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","Spotter","assigned_to_spotter","daily"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-330","QA pass for marketing CTAs and key routes","high","in_progress","Spotter","assigned_to_spotter","daily"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-350","Bug: Nassau tie scenario awards winner instead of push at segment completion","high","in_progress","65731875-1c15-4442-883d-af847186f81e","assigned_other","daily"
"BET-24","Implement Sprint 3 cards + round-scoring UX from approved design spec","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-293","Mobile-first betting card readability + tap-target polish on create flow","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-81","Stitch: Skins card 'The Auction House' — gold pot stacking; trophy reveals","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-82","Stitch: Nassau card 'The Triple Crown' — three stacked linen bet sections","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-83","Stitch: Wolf card 'The War Room' — circular rotation wheel; alliance timeline","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-84","Stitch: Match Play card 'The Duel' — head-to-head confrontation layout","high","in_review","Spotter","assigned_to_spotter","daily"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","Spotter","assigned_to_spotter","daily"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","Spotter","assigned_to_spotter","daily"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","Spotter","assigned_to_spotter","daily"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","Spotter","assigned_to_spotter","daily"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","Spotter","assigned_to_spotter","daily"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","Spotter","assigned_to_spotter","daily"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned_other","daily"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-284","QA sweep: CTA links + blocked internal routes + affiliate canonical redirect","high","todo","Spotter","assigned_to_spotter","daily"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","todo","Spotter","assigned_to_spotter","daily"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","daily"
"BET-351","Bug: Wolf settlement reads wolf.running but game-state persists wolf.results","high","todo","65731875-1c15-4442-883d-af847186f81e","assigned_other","daily"
"BET-352","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","high","todo","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned_other","daily"
"BET-164","SMOKE TEST: Settlement ceremony and share card","medium","blocked","Spotter","assigned_to_spotter","monitor"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned_other","monitor"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned_other","monitor"
"BET-85","Stitch: Scramble card 'The Team Trophy' — pennant banners; CTP/Long Drive","medium","in_review","Spotter","assigned_to_spotter","monitor"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","monitor"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","monitor"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","monitor"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live; creating duplicate affiliate entry points","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned_other","monitor"
SUMMARY,Spotter open P0/P1 bug/QA items: 13,high+critical,as_of_2026-04-03_14:21_EDT,Spotter,mixed,daily
SUMMARY,Unassigned open P0/P1 bug/QA items in this slice: 0,high+critical,as_of_2026-04-03_14:21_EDT,none,none,daily
