route,source_file,should_be_public,http_status,link_status,pricing_status,notes,last_checked_et
/.claude/worktrees/agent-a0ada389/ads/,.claude/worktrees/agent-a0ada389/ads/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/affiliates/,.claude/worktrees/agent-a0ada389/affiliates/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/app/,.claude/worktrees/agent-a0ada389/app/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/app/overview/,.claude/worktrees/agent-a0ada389/app/overview/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/app/whatif/,.claude/worktrees/agent-a0ada389/app/whatif/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/courses/,.claude/worktrees/agent-a0ada389/courses/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/create/,.claude/worktrees/agent-a0ada389/create/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/demo/,.claude/worktrees/agent-a0ada389/demo/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/banker/,.claude/worktrees/agent-a0ada389/games/banker/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/bingo-bango-bongo/,.claude/worktrees/agent-a0ada389/games/bingo-bango-bongo/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/bloodsome/,.claude/worktrees/agent-a0ada389/games/bloodsome/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/,.claude/worktrees/agent-a0ada389/games/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/match-play/,.claude/worktrees/agent-a0ada389/games/match-play/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/nassau/,.claude/worktrees/agent-a0ada389/games/nassau/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/skins/,.claude/worktrees/agent-a0ada389/games/skins/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/stableford/,.claude/worktrees/agent-a0ada389/games/stableford/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/vegas/,.claude/worktrees/agent-a0ada389/games/vegas/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/games/wolf/,.claude/worktrees/agent-a0ada389/games/wolf/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/gtm/,.claude/worktrees/agent-a0ada389/gtm/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/,.claude/worktrees/agent-a0ada389/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/marketing/,.claude/worktrees/agent-a0ada389/marketing/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/my-events/,.claude/worktrees/agent-a0ada389/my-events/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/overview/,.claude/worktrees/agent-a0ada389/overview/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/.claude/worktrees/agent-a0ada389/tour/,.claude/worktrees/agent-a0ada389/tour/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/admin/outreach/,admin/outreach/index.html,no,404,broken,n/a,"",2026-04-03 14:03
/ads-private/,ads-private/index.html,no,404,broken,n/a,"",2026-04-03 14:03
/affiliate/,affiliate/index.html,yes,301,redirect,n/a,"location=https://betwaggle.com/affiliates/",2026-04-03 14:03
/affiliates/,affiliates/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/app/,app/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/app/overview/,app/overview/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/app/whatif/,app/whatif/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/b/,b/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/cards/dashboard/,cards/dashboard/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/match-play/,cards/match-play/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/nassau/,cards/nassau/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/scramble/,cards/scramble/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/settlement/,cards/settlement/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/skins/,cards/skins/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/cards/wolf/,cards/wolf/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/courses/,courses/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/create/,create/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/demo/,demo/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/banker/,games/banker/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/best-ball/,games/best-ball/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/bingo-bango-bongo/,games/bingo-bango-bongo/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/bloodsome/,games/bloodsome/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/,games/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/match-play/,games/match-play/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/nassau/,games/nassau/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/scramble/,games/scramble/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/skins/,games/skins/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/stableford/,games/stableford/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/vegas/,games/vegas/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/games/wolf/,games/wolf/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/gtm-private/,gtm-private/index.html,no,404,broken,n/a,"",2026-04-03 14:03
/guides/best-golf-betting-games-for-a-foursome/,guides/best-golf-betting-games-for-a-foursome/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/guides/golf-trip-betting-formats/,guides/golf-trip-betting-formats/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/guides/how-to-run-a-charity-golf-scramble/,guides/how-to-run-a-charity-golf-scramble/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/guides/how-to-settle-golf-bets/,guides/how-to-settle-golf-bets/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/guides/,guides/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/,index.html,yes,200,working,n/a,"",2026-04-03 14:03
/inventory/,inventory/index.html,no,200,working,n/a,"",2026-04-03 14:03
/marketing-private/,marketing-private/index.html,no,404,broken,n/a,"",2026-04-03 14:03
/mclemore/,mclemore/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/my-events/,my-events/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/overview/,overview/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/partner/,partner/index.html,yes,307,redirect_loop_risk,n/a,"location=/partner/",2026-04-03 14:03
/pricing/,pricing/index.html,yes,404,broken,n/a,"",2026-04-03 14:03
/pro/,pro/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/register/,register/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/share/,share/index.html,yes,200,working,n/a,"",2026-04-03 14:03
/tour/,tour/index.html,yes,307,redirect_loop_risk,n/a,"location=/tour/",2026-04-03 14:03
