path,purpose,intended_visibility,live_http_status,pricing_status,link_status,notes,last_checked
/,Homepage + top-of-funnel,public,200,correct,working,Primary pricing CTA is $32/event,2026-04-03T14:28:00-04:00
/create/,Event creation flow,public,200,mixed_copy,working,Contains $149/season wording instead of season pass in some copy,2026-04-03T14:28:00-04:00
/games/,Games hub,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/nassau/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/skins/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/scramble/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/best-ball/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/wolf/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/vegas/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/match-play/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/stableford/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/banker/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/bloodsome/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/games/bingo-bango-bongo/,Game rules SEO page,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/guides/,Guides index,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/guides/how-to-run-a-charity-golf-scramble/,Guide article,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/guides/golf-trip-betting-formats/,Guide article,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/guides/how-to-settle-golf-bets/,Guide article,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/guides/best-golf-betting-games-for-a-foursome/,Guide article,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/overview/,Overview / ops doc surface,public,200,not_pricing_page,working,Publicly reachable,2026-04-03T14:28:00-04:00
/demo/,Interactive demo,public,200,correct,working,Loads and shows $32/event CTA copy,2026-04-03T14:28:00-04:00
/courses/,Course search/listing,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/my-events/,Event lookup/account utility,public,200,not_pricing_page,working,Sitemap page responding 200,2026-04-03T14:28:00-04:00
/affiliates/,Affiliate landing page,public,200,not_pricing_page,working,Canonical route,2026-04-03T14:28:00-04:00
/affiliate/,Legacy affiliate alias,public_alias,301,not_pricing_page,redirects_to_/affiliates/,Duplicate path exists as redirect alias,2026-04-03T14:28:00-04:00
/tour/,Product tour + comparison,public,307,mixed_copy,broken,Self-redirect loop currently blocks page access,2026-04-03T14:28:00-04:00
/pricing/,Pricing landing page,public,404,blocked,broken,Critical: public pricing route down,2026-04-03T14:28:00-04:00
/marketing/,Internal docs route (expected internal),internal_should_not_be_public,404,n/a,blocked,Not currently exposed at this path,2026-04-03T14:28:00-04:00
/gtm/,Internal docs route (expected internal),internal_should_not_be_public,404,n/a,blocked,Not currently exposed at this path,2026-04-03T14:28:00-04:00
/ads/,Internal docs route (expected internal),internal_should_not_be_public,404,n/a,blocked,Not currently exposed at this path,2026-04-03T14:28:00-04:00
/join/,Legacy join path,public_alias,301,n/a,redirects_to_/create/,No longer 404; now redirected,2026-04-03T14:28:00-04:00
/about/,Legacy about path,public_alias,301,n/a,redirects_to_/overview/,No longer 404; now redirected,2026-04-03T14:28:00-04:00
/games/stroke-play/,Legacy game path,public_alias,301,n/a,redirects_to_/games/,No longer 404; now redirected,2026-04-03T14:28:00-04:00
/games/round-robin/,Legacy game path,public_alias,301,n/a,redirects_to_/games/,No longer 404; now redirected,2026-04-03T14:28:00-04:00
/games/chapman/,Legacy game path,public_alias,301,n/a,redirects_to_/games/,No longer 404; now redirected,2026-04-03T14:28:00-04:00
