"identifier","title","priority","status","assignee_agent_id","assignment_state","updated_at"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:42:53.599Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:41:32.984Z"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:41:09.656Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:39:12.964Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T15:00:09.800Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:42:16.425Z"
"BET-126","QA sweep: pricing + CTA destination validation on core marketing pages","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:18:23.831Z"
"BET-151","QA: Verify all 5 redesigned game cards render correctly","high","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:18:20.756Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T15:43:09.381Z"
"BET-98","QA: Verify pricing consistency across every page","medium","todo","87fcc8b8-b4b9-4a33-8358-c49179985317","assigned","2026-04-03T14:19:40.908Z"
