issue_identifier,title,priority,status,assigned_to,assignment_state,severity_bucket,last_updated_utc
"BET-433","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T21:31:22.660Z"
"BET-457","Bug: Settlement view crashes on /stag-night/#settle with ReferenceError: players is not defined","critical","blocked","c36a36d6-567b-415a-bd2b-e786a1748d15","assigned","P0","2026-04-03T21:23:47.282Z"
"BET-458","Bug: runSettlementTests() produces widespread zero-sum failures due to fixture selection mismatch","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T21:20:24.706Z"
"BET-451","Bug: Demo odds remain static (no visible auto-simulation updates on demo event pages)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T21:07:03.188Z"
"BET-449","Bug: Settlement zero-sum violations in skins, match_play, and stableford (net flow -$250/-$325)","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T21:07:03.151Z"
"BET-448","Bug: Mobile typography below 14px body threshold on key pages","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T21:01:08.957Z"
"BET-447","Bug: Both /affiliate/ and /affiliates/ resolve as live pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T21:01:08.912Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P1","2026-04-03T20:54:27.182Z"
"BET-444","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","high","blocked","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T20:49:37.835Z"
"BET-404","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","critical","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P0","2026-04-03T20:48:01.786Z"
"BET-438","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T20:41:06.127Z"
"BET-432","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T20:39:12.437Z"
"BET-403","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T20:35:56.252Z"
"BET-434","Bug: Both /affiliate/ and /affiliates/ are live, creating canonical route conflict","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T20:33:46.432Z"
"BET-391","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T20:25:00.802Z"
"BET-429","Bug: Settlement zero-sum fails in skins/match-play/stableford and partial-round suites","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T20:23:49.041Z"
"BET-417","Bug: /courses/ cards link to literal template path /courses/${c.id} and 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T20:03:47.064Z"
"BET-416","Bug: Legacy game URLs redirect to mismatched game guides","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T19:57:54.143Z"
"BET-415","Bug: $32 event checkout API hard-fails with eventSlug required","high","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P1","2026-04-03T19:57:54.109Z"
"BET-414","Bug: Fresh demo load requests missing favicon.ico (404)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T19:57:39.774Z"
"BET-413","Bug: Duplicate affiliate routes both active (/affiliate/ and /affiliates/)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T19:57:39.742Z"
"BET-412","Bug: Homepage horizontal overflow at 375px viewport","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T19:57:39.708Z"
"BET-411","Bug: Mobile text readability below minimum font sizes on demo/pricing","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T19:57:39.669Z"
"BET-410","Bug: Mobile touch targets below 56px on pricing and game-guide pages","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T19:57:39.636Z"
"BET-409","Bug: Settlement zero-sum fails in skins/match_play/stableford and partial-round scenarios","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T19:57:39.596Z"
"BET-377","Bug: Both /affiliate/ and /affiliates/ are live 200 routes causing duplicate canonical paths","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T19:37:07.874Z"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","in_review","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P1","2026-04-03T19:32:07.707Z"
"BET-376","Bug: Settlement math path for stableford/match play references undefined function and can crash","critical","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P0","2026-04-03T19:25:11.716Z"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T19:24:00.969Z"
"BET-384","Bug: Best ball game type has no settlement payout path (returns all-zero PnL)","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T19:23:55.574Z"
"BET-375","Bug: Checkout success endpoint returns raw JSON errors instead of user-friendly error page","high","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P1","2026-04-03T19:22:42.901Z"
"BET-374","Bug: Demo odds do not visibly update during auto-simulation on demo-skins","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T19:22:42.860Z"
"BET-373","Bug: Horizontal scroll present on homepage at 375px mobile viewport","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T19:22:42.829Z"
"BET-372","Bug: Pricing page violates 56px mobile touch-target requirement on core CTAs","high","backlog","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","P1","2026-04-03T19:22:42.786Z"
"BET-371","Bug: /affiliate/ serves 200 soft redirect instead of HTTP canonical redirect to /affiliates/","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T19:13:28.203Z"
"BET-369","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","critical","backlog","c36a36d6-567b-415a-bd2b-e786a1748d15","assigned","P0","2026-04-03T19:13:27.716Z"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:59:01.331Z"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T18:55:54.518Z"
"BET-304","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T18:50:14.799Z"
"BET-361","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T18:44:01.225Z"
"BET-360","Bug: /tour/ route stuck in infinite self-redirect loop","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T18:44:01.202Z"
"BET-363","Bug: Demo Game Cards links point to 404 pages (/cards/*)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:43:13.950Z"
"BET-362","Bug: /pricing/ route returns 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:43:13.875Z"
"BET-356","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:40:38.168Z"
"BET-358","Bug: Create flow review card shows $29 for event pricing instead of $32/event","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:29:54.460Z"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:23:07.648Z"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T18:13:36.897Z"
"BET-347","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T18:09:47.807Z"
"BET-346","Bug: Homepage and demo 'See it in action' links route to 404 card pages","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T18:09:14.480Z"
"BET-336","Bug: Email capture API returns 500 for valid and duplicate submissions","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T17:53:08.084Z"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T17:51:04.163Z"
"BET-339","Bug: Settlement P&L computation omits best ball mode","high","backlog","65731875-1c15-4442-883d-af847186f81e","assigned","P1","2026-04-03T17:50:03.944Z"
"BET-337","Bug: Homepage and demo link to /cards/* routes that return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T17:50:03.732Z"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T17:46:42.045Z"
"BET-316","Bug: Homepage route /b/ shows stale pricing copy ($149 per event)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:44:14.488Z"
"BET-317","Bug: Broken internal links to /cards/* from demo and homepage format sections","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:44:08.949Z"
"BET-315","Bug: /pricing/ returns 404 and breaks checkout success/cancel destination","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:44:08.005Z"
"BET-314","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","critical","backlog","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","P0","2026-04-03T16:44:07.729Z"
"BET-313","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T16:44:07.558Z"
"BET-310","Bug: /courses/ emits unresolved template link /courses/${c.id} leading to 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:35:44.810Z"
"BET-307","Bug: Demo game-card links resolve to 404 (/cards/skins, /cards/nassau, /cards/wolf, /cards/match-play, /cards/scramble)","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:35:44.385Z"
"BET-306","Bug: /tour/ route self-redirects (307 -> /tour/) while linked across games/guides","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:35:44.332Z"
"BET-305","Bug: /overview/ route self-redirects (307 -> /overview/) and never resolves","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:35:44.287Z"
"BET-298","Bug: /create/ enters infinite redirect loop and blocks signup checkout","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T16:26:46.553Z"
"BET-297","Bug: Redirect loop on /tour/ prevents page load","critical","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T16:26:46.259Z"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:26:19.794Z"
"BET-301","Bug: Literal template link /courses/${c.id} is rendered and 404s","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:26:19.685Z"
"BET-300","Bug: Internal /cards/* links on games pages return 404","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:26:19.497Z"
"BET-299","Bug: /about/ redirect target /overview/ loops and never resolves","high","backlog","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:26:19.366Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:23:49.664Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P0","2026-04-03T16:15:40.318Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","P1","2026-04-03T16:04:34.140Z"
