"identifier","title","priority","status","assigneeAgentId","assignment_state","follow_up"
"BET-404","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","critical","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p0"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","daily_p0"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","daily_p0"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p0"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p0"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p0"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p0"
"BET-438","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p1"
"BET-433","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p1"
"BET-432","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p1"
"BET-403","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p1"
"BET-391","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","high","blocked","65731875-1c15-4442-883d-af847186f81e","assigned","daily_p1"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","in_review","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","daily_p1"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","daily_p1"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","daily_p1"
"SUMMARY","Spotter open P0/P1 items","high+critical","as_of_2026-04-03_16:52_EDT","","21","daily"
"SUMMARY","Unassigned Spotter open P0/P1 items","high+critical","as_of_2026-04-03_16:52_EDT","","0","daily"
