"identifier","priority_tier","status","title","assignee","updated_at","risk","next_follow_up"
"BET-366","P1","todo","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","Founding Engineer","2026-04-03T18:59:01.331Z","not started","follow up within 24h"
"BET-335","P1","todo","Bug: Homepage and courses pages expose internal links that 404","Founding Engineer","2026-04-03T17:51:04.163Z","not started","follow up within 24h"
"BET-277","P1","todo","Bug: Redesigned game cards missing Tailwind config block","Divot","2026-04-03T16:24:00.881Z","not started","follow up within 24h"
"BET-281","P1","todo","Bug: /pricing/ returns 404 Event Not Found","Founding Engineer","2026-04-03T16:23:49.664Z","not started","follow up within 24h"
"BET-267","P1","todo","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","Founding Engineer","2026-04-03T16:04:34.140Z","not started","follow up within 24h"
"BET-216","P1","todo","Mitigation: normalize exposed private-page pricing copy to canonical offer","Founding Engineer","2026-04-03T15:16:29.648Z","not started","follow up within 24h"
"BET-133","P1","in_review","Normalize outreach/email pricing language to $149 season pass (not per-event where applicable)","Birdie","2026-04-03T16:46:51.944Z","awaiting verification","follow up within 24h"
"BET-89","P1","in_review","Shareable settlement card: screenshot-optimized HTML for group chat","Founding Engineer","2026-04-03T15:00:46.576Z","awaiting verification","follow up within 24h"
"BET-90","P1","in_review","Venmo deep links on settlement: pre-filled pay buttons per player","Founding Engineer","2026-04-03T12:52:03.276Z","awaiting verification","follow up within 24h"
"BET-349","P1","in_progress","Bug: Homepage /cards/* links return 404 from game format section","Founding Engineer","2026-04-03T18:23:07.648Z","active","follow up within 24h"
"BET-334","P1","in_progress","Bug: Public pricing page /pricing/ returns 404 Event not found","Founding Engineer","2026-04-03T17:46:42.045Z","active","follow up within 24h"
"BET-222","P1","in_progress","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","Founding Engineer","2026-04-03T16:52:08.715Z","active","follow up within 24h"
"BET-266","P1","in_progress","Bug: /create still uses legacy $29 event pricing in live cost calculations","Founding Engineer","2026-04-03T16:02:30.729Z","active","follow up within 24h"
"BET-195","P1","in_progress","Unify pricing + checkout entry points across public pages ($32/$149 canonical)","Founding Engineer","2026-04-03T15:14:10.774Z","active","follow up within 24h"
"BET-296","P1","blocked","QA verification: /tour route no longer loops on mobile + desktop","Caddie","2026-04-03T19:01:38.794Z","blocked","follow up within 24h"
"BET-186","P1","blocked","QA: Verify Heritage game panels on mobile and 56px touch targets","Spotter","2026-04-03T19:00:41.053Z","blocked","follow up within 24h"
"BET-352","P1","blocked","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","Caddie","2026-04-03T18:58:42.706Z","blocked","follow up within 24h"
"BET-259","P1","blocked","QA validation: mobile tap-target + selection feedback regression for odds UX","Spotter","2026-04-03T18:56:10.200Z","blocked","follow up within 24h"
"BET-328","P1","blocked","Pricing consistency audit handoff","Caddie","2026-04-03T18:45:50.109Z","blocked","follow up within 24h"
"BET-268","P1","blocked","Spotter QA validation for Sprint 3 game flow UX","Spotter","2026-04-03T18:31:54.965Z","blocked","follow up within 24h"
"BET-38","P1","blocked","Full site QA crawl: find all 404s, broken links, mobile issues","Spotter","2026-04-03T16:51:53.375Z","blocked","follow up within 24h"
"BET-60","P1","blocked","QA: Verify pricing and CTA changes across site","Spotter","2026-04-03T16:47:30.537Z","blocked","follow up within 24h"
"BET-225","P1","blocked","WRITE CODE: Fix /pricing/ page — Season Pass $9.99/mo conflict","Shank","2026-04-03T16:35:19.799Z","blocked","follow up within 24h"
"BET-161","P1","blocked","SMOKE TEST: All 7 demo pages load with real data","Spotter","2026-04-03T14:44:50.377Z","blocked","follow up within 24h"
"BET-137","P1","blocked","Bug: partial-round settlement logic is not used in production settlement path","Shank","2026-04-03T14:44:44.360Z","blocked","follow up within 24h"
"BET-160","P1","blocked","SMOKE TEST: Course search in Quick Start and create wizard","Spotter","2026-04-03T14:32:15.112Z","blocked","follow up within 24h"
"BET-355","P0","todo","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","Founding Engineer","2026-04-03T18:55:43.536Z","not started","follow up today"
"BET-342","P0","todo","Bug: /pricing/ returns 404 instead of pricing page","Founding Engineer","2026-04-03T18:13:36.897Z","not started","follow up today"
"BET-279","P0","todo","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","Founding Engineer","2026-04-03T16:15:40.318Z","not started","follow up today"
"BET-192","P0","todo","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","Founding Engineer","2026-04-03T15:04:46.893Z","not started","follow up today"
"BET-354","P0","in_review","Bug: /pricing/ returns 404, blocking Stripe checkout entry","Shank","2026-04-03T19:03:34.046Z","awaiting verification","follow up today"
"BET-129","P0","in_review","Bug: Demo game pages fail to render market/score content due JS syntax error","Founding Engineer","2026-04-03T15:28:33.110Z","awaiting verification","follow up today"
"BET-322","P0","in_progress","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","Wedge","2026-04-03T18:54:39.640Z","active","follow up today"
"BET-323","P0","in_progress","Demo auto-simulation execution: make demo boards visibly live end-to-end","Founding Engineer","2026-04-03T18:49:21.889Z","active","follow up today"
"BET-327","P0","in_progress","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","Founding Engineer","2026-04-03T18:48:06.308Z","active","follow up today"
"BET-246","P0","in_progress","Pricing parity hardening: Stripe $32 event / $149 season","Founding Engineer","2026-04-03T16:44:25.306Z","active","follow up today"
