page,purpose,visibility_should_be,http_status,link_status,pricing_status
"/","Homepage","public","200","working","wrong ($149/season only)"
"/tour/","Tour explainer","public","200","working","wrong ($149/season only)"
"/pricing/","Pricing page","public","200","working","wrong ($149/season only)"
"/demo/","Interactive demo","public","200","working","mostly-correct"
"/create/","Event setup flow","public","200","working","n/a"
"/overview/","Operations guide","public","200","working","n/a"
"/courses/","Courses listing","public","200","working","n/a"
"/my-events/","Event retrieval","public","200","working","n/a"
"/games/","Games hub","public","200","working","n/a"
"/guides/","Guides hub","public","200","working","n/a"
"/affiliate/","Affiliate legacy route","public","301","working","n/a"
"/affiliates/","Affiliate canonical route","public","200","working","n/a"
"/marketing/","Internal docs path","internal","404","broken","n/a"
"/gtm/","Internal docs path","internal","404","broken","n/a"
"/ads/","Internal docs path","internal","404","broken","n/a"
"/join/","Legacy route","public","301","working","n/a"
"/about/","Legacy route","public","301","working","n/a"
"/games/stroke-play/","Known broken game link","public","404","broken","n/a"
"/games/round-robin/","Known broken game link","public","404","broken","n/a"
"/games/chapman/","Known broken game link","public","404","broken","n/a"
