page,element,current_price,correct_price,status,evidence,notes
/,hero_subheadline,$32/event,$32/event,correct,index.html:1450,Canonical event pricing text
/,event_cta_buttons,"Set Up Your Event — $32","Set Up Your Event — $32/event",copy_mismatch,index.html:2359|2373|2388|2727|2732|2768,CTA shorthand omits /event suffix
/,season_card_price,$149/season,$149/season pass,copy_mismatch,index.html:2378,Season pass label missing "pass"
/,season_footer_cta,"Set Up Your Season — $149/season","Set Up Your Season — $149/season pass",copy_mismatch,index.html:2733|2770,Footer wording mismatch
/tour/,comparison_pricing_row,"$149/season and $32/event","$149/season pass and $32/event",copy_mismatch,tour/index.html:295,No legacy $199 found
/tour/,event_cta,"Set Up Your Event — $32","Set Up Your Event — $32/event",copy_mismatch,tour/index.html:304,CTA shorthand
/pricing/,hero_headline,$149/season,$149/season pass,copy_mismatch,pricing/index.html:715,Primary headline mismatch
/pricing/,season_price_period,per season,season pass,copy_mismatch,pricing/index.html:772,Period copy mismatch
/pricing/,season_primary_cta,"Set Up Your Season — $149/season","Set Up Your Season — $149/season pass",copy_mismatch,pricing/index.html:781,Primary season CTA mismatch
/pricing/,teams_events_card,$149/season,$149/season pass,copy_mismatch,pricing/index.html:789|847,Card and table mismatch
/pricing/,faq_switch_copy,$149/season,$149/season pass,copy_mismatch,pricing/index.html:871,FAQ wording mismatch
/pricing/,footer_season_cta,"Set Up Your Season — $149/season","Set Up Your Season — $149/season pass",copy_mismatch,pricing/index.html:910,Footer CTA mismatch
/pricing/,subscribe_prompt_banner,"$149/season","$149/season pass",copy_mismatch,pricing/index.html:947|968,Prompt and success banner mismatch
/pricing/,event_ctas,"Set Up Your Event — $32","Set Up Your Event — $32/event",copy_mismatch,pricing/index.html:741|762|899|909,CTA shorthand
/demo/,demo_support_line,$32/event,$32/event,correct,demo/index.html:451,Canonical demo support line
/demo/,demo_event_cta,"Set Up Your Event — $32","Set Up Your Event — $32/event",copy_mismatch,demo/index.html:448,CTA shorthand
/create/,checkout_price_variable,29,$32,incorrect,create/index.html:1520,Hardcoded event price below canonical price
/create/,per_person_math,"29 / roster size","32 / roster size",incorrect,create/index.html:2303,Per-person split math tied to wrong event price
/create/,scramble_badge,$149/season,$149/season pass,copy_mismatch,create/index.html:477,Scramble badge wording mismatch
/create/,scramble_price_tile,$149/season,$149/season pass,copy_mismatch,create/index.html:2570,Season pass wording mismatch
/emails/affiliate-welcome.html,affiliate_commission_reference,$149/season,$149/season pass,copy_mismatch,emails/affiliate-welcome.html:50,Commission tier wording mismatch
/emails/outreach/ca-golf-sequence.html,preview_and_body,$149/season,$149/season pass,copy_mismatch,emails/outreach/ca-golf-sequence.html:12|42|92,Recurring offer wording mismatch
/emails/outreach/fl-charity-sequence.html,body_copy,$149/season,$149/season pass,copy_mismatch,emails/outreach/fl-charity-sequence.html:38,Recurring offer wording mismatch
/emails/SEQUENCE.md,style_guide_line,"Always '$149/season'","Always '$149/season pass'",copy_mismatch,emails/SEQUENCE.md:25,Internal style guide not aligned
/worker.js,waggle_labels_event_tier,"$32","$32/event",copy_mismatch,worker.js:1980|1982,Checkout labels use shorthand
/worker.js,waggle_labels_season_tier,$149/season,$149/season pass,copy_mismatch,worker.js:1980|1983,Season labels missing "pass"
/worker.js,ad_prompt_copy,$149/season,$149/season pass,copy_mismatch,worker.js:4080|4085,Marketing generator prompt mismatch
/live_check,/tour/legacy_price_check,No $199 found,No legacy pricing,correct,https://betwaggle.com/tour/ grep 2026-04-03,Known $199 issue not reproduced on 2026-04-03
