page,purpose,visibility,http_status,pricing_status,link_status,notes,checked_at
/,Homepage conversion entry,public,200,mixed,working,"Event support copy is canonical; CTA shorthand uses $32; season text uses $149/season",2026-04-03T11:57:41-0400
/tour/,Product tour and comparison,public,200,mixed,working,"No $199 found today; CTA shorthand uses $32; season row uses $149/season",2026-04-03T11:57:41-0400
/pricing/,Pricing and checkout page,public,200,mixed,working,"Event CTAs use $32 shorthand; season copy uses $149/season across meta/CTA/JS",2026-04-03T11:57:41-0400
/demo/,Demo launcher directory,public,200,mixed,working,"Loads demo cards; primary CTA uses $32 shorthand while support copy uses $32/event",2026-04-03T11:57:41-0400
/create/,Event creation wizard,public,200,incorrect,working,"Source still contains legacy $29 hardcodes and $149/season wording (tracked in BET-132, BET-266)",2026-04-03T11:57:41-0400
/affiliates/,Affiliate landing page,public,200,not_a_pricing_page,working,"Canonical route for partner signup",2026-04-03T11:57:41-0400
/affiliate/,Legacy affiliate route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /affiliates/ (duplicate-route issue remains)",2026-04-03T11:57:41-0400
/overview/,Operations guide,public,200,not_a_pricing_page,working,"Public docs page",2026-04-03T11:57:41-0400
/games/,Games hub,public,200,not_checked_this_pass,working,"Included in sitemap; route healthy",2026-04-03T11:57:41-0400
/guides/,Guides hub,public,200,not_checked_this_pass,working,"Included in sitemap; route healthy",2026-04-03T11:57:41-0400
/courses/,Course directory,public,200,not_a_pricing_page,working,"Included in sitemap; route healthy",2026-04-03T11:57:41-0400
/my-events/,User event list,public,200,not_a_pricing_page,working,"Included in sitemap; route healthy",2026-04-03T11:57:41-0400
/join/,Legacy join route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /create/ (no longer 404)",2026-04-03T11:57:41-0400
/about/,Legacy about route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /overview/ (no longer 404)",2026-04-03T11:57:41-0400
/games/stroke-play/,Legacy game route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /games/ (no longer 404)",2026-04-03T11:57:41-0400
/games/round-robin/,Legacy game route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /games/ (no longer 404)",2026-04-03T11:57:41-0400
/games/chapman/,Legacy game route,public_redirect,301,not_a_pricing_page,redirects,"301 -> /games/ (no longer 404)",2026-04-03T11:57:41-0400
/marketing/,Internal marketing docs (should be private),should_be_internal,404,not_applicable,blocked_publicly,"Public access blocked (known issue appears mitigated on live route)",2026-04-03T11:57:41-0400
/gtm/,Internal GTM docs (should be private),should_be_internal,404,not_applicable,blocked_publicly,"Public access blocked (known issue appears mitigated on live route)",2026-04-03T11:57:41-0400
/ads/,Internal ads docs (should be private),should_be_internal,404,not_applicable,blocked_publicly,"Public access blocked (known issue appears mitigated on live route)",2026-04-03T11:57:41-0400
/marketing-private/,Internal page in repo,internal_source,not_public_probe,not_applicable,not_public_probe,"Exists in repo; live canonical /marketing/ returns 404",2026-04-03T11:57:41-0400
/gtm-private/,Internal page in repo,internal_source,not_public_probe,not_applicable,not_public_probe,"Exists in repo; live canonical /gtm/ returns 404",2026-04-03T11:57:41-0400
/ads-private/,Internal page in repo,internal_source,not_public_probe,not_applicable,not_public_probe,"Exists in repo; live canonical /ads/ returns 404",2026-04-03T11:57:41-0400
