"identifier","title","priority","status","created_by_spotter","assignee_agent_id","assignment_status","updated_at","follow_up"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","blocked","yes","c36a36d6-567b-415a-bd2b-e786a1748d15","assigned","2026-04-03T18:56:20.904Z","FOLLOW-UP: daily P0/P1 check"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:55:54.518Z","FOLLOW-UP: daily P0/P1 check"
"BET-355","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","critical","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:55:43.536Z","FOLLOW-UP: daily P0/P1 check"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:50:33.033Z","FOLLOW-UP: daily P0/P1 check"
"BET-304","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","critical","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:50:14.799Z","FOLLOW-UP: daily P0/P1 check"
"BET-308","Bug: Email capture API returns 500 for valid email submissions","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:49:53.806Z","FOLLOW-UP: daily P0/P1 check"
"BET-361","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","critical","backlog","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:44:01.225Z","FOLLOW-UP: daily P0/P1 check"
"BET-360","Bug: /tour/ route stuck in infinite self-redirect loop","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:44:01.202Z","FOLLOW-UP: daily P0/P1 check"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","yes","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T18:13:36.897Z","FOLLOW-UP: daily P0/P1 check"
"BET-347","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","critical","backlog","yes","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T18:09:47.807Z","FOLLOW-UP: daily P0/P1 check"
