page,element,current_price,correct_price,status
https://betwaggle.com/,Homepage CTA and pricing cards,$32/event and $149/season pass,$32/event and $149/season pass,CORRECT
https://betwaggle.com/tour/,Live route and visible pricing,200 with $32/event and $149/season pass,$32/event and $149/season pass,CORRECT
https://betwaggle.com/pricing/,Live route and visible pricing,200 with $32/event and $149/season pass,$32/event and $149/season pass,CORRECT
https://betwaggle.com/demo/,Live demo CTA text,200 with Set Up Your Event — $32/event,$32/event and $149/season pass,CORRECT
tour/index.html,Tour table pricing row,$149/season pass and $32/event,$32/event and $149/season pass,CORRECT
pricing/index.html,Pricing cards and season CTA copy,$32/event and $149/season pass,$32/event and $149/season pass,CORRECT
index.html,Primary/secondary CTA text,Set Up Your Event — $32/event and Try the Demo,Set Up Your Event — $32/event and Try the Demo,CORRECT
create/index.html,Event price math constant,isTeam ? 149 : 29,isTeam ? 149 : 32,INCORRECT
create/index.html,Season copy label,$149/season,$149/season pass,INCORRECT
worker.js,Season labels in checkout copy,$149/season,$149/season pass,INCORRECT
emails/affiliate-welcome.html,Affiliate payout tier text,$149/season,$149/season pass,INCORRECT
emails/outreach/ca-golf-sequence.html,Recurring pricing references,$149/season,$149/season pass,INCORRECT
emails/outreach/fl-charity-sequence.html,Recurring pricing reference,$149/season,$149/season pass,INCORRECT
app/js + app/config.json,Hardcoded legacy scan for $199,No $199 found,No $199 and only canonical pricing,CORRECT
