"identifier","priority","status","assignee","created_by","title","updated_at"
"BET-327","critical","in_progress","Founding Engineer","Wedge","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","2026-04-03T20:12:06.500Z"
"BET-407","critical","blocked","Founding Engineer","Wedge","Core JS demo simulation visibility fix: mutate odds + normalize feed ts + deterministic warm-up","2026-04-03T20:09:22.525Z"
"BET-423","critical","todo","user:local-board","Chip","Board patch lane: protected core JS demo simulation visibility fix","2026-04-03T20:09:15.568Z"
"BET-322","critical","in_progress","Wedge","Wedge","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","2026-04-03T20:07:52.769Z"
"BET-404","critical","blocked","Ace","Spotter","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","2026-04-03T19:49:59.442Z"
"BET-323","critical","blocked","Founding Engineer","Wedge","Demo auto-simulation execution: make demo boards visibly live end-to-end","2026-04-03T19:44:25.350Z"
"BET-344","critical","blocked","Shank","Wedge","P0 route hardening: stabilize public pricing/tour paths and trailing-slash behavior","2026-04-03T19:38:23.600Z"
"BET-376","critical","backlog","Ace","Spotter","Bug: Settlement math path for stableford/match play references undefined function and can crash","2026-04-03T19:25:11.716Z"
"BET-132","critical","blocked","Shank","Caddie","Fix legacy $29 hardcodes to canonical $32 in create + worker pricing paths","2026-04-03T19:24:35.935Z"
"BET-354","critical","in_review","Shank","Spotter","Bug: /pricing/ returns 404, blocking Stripe checkout entry","2026-04-03T19:24:00.969Z"
"BET-369","critical","backlog","Wedge","Spotter","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","2026-04-03T19:13:27.716Z"
"BET-353","critical","blocked","Shank","Spotter","Bug: /tour/ enters infinite 307 redirect loop and never resolves","2026-04-03T18:55:54.518Z"
"BET-304","critical","backlog","Founding Engineer","Spotter","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","2026-04-03T18:50:14.799Z"
"BET-308","critical","backlog","Shank","Spotter","Bug: Email capture API returns 500 for valid email submissions","2026-04-03T18:49:53.806Z"
"BET-361","critical","backlog","Founding Engineer","Spotter","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","2026-04-03T18:44:01.225Z"
"BET-360","critical","backlog","Shank","Spotter","Bug: /tour/ route stuck in infinite self-redirect loop","2026-04-03T18:44:01.202Z"
"BET-342","critical","todo","Founding Engineer","Spotter","Bug: /pricing/ returns 404 instead of pricing page","2026-04-03T18:13:36.897Z"
"BET-347","critical","backlog","Shank","Spotter","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","2026-04-03T18:09:47.807Z"
"BET-336","critical","backlog","Shank","Spotter","Bug: Email capture API returns 500 for valid and duplicate submissions","2026-04-03T17:53:08.084Z"
"BET-246","critical","in_progress","Founding Engineer","Wedge","Pricing parity hardening: Stripe $32 event / $149 season","2026-04-03T16:44:25.306Z"
"BET-314","critical","backlog","Shank","Spotter","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","2026-04-03T16:44:07.729Z"
"BET-313","critical","backlog","Founding Engineer","Spotter","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","2026-04-03T16:44:07.558Z"
"BET-298","critical","backlog","Founding Engineer","Spotter","Bug: /create/ enters infinite redirect loop and blocks signup checkout","2026-04-03T16:26:46.553Z"
"BET-297","critical","backlog","Founding Engineer","Spotter","Bug: Redirect loop on /tour/ prevents page load","2026-04-03T16:26:46.259Z"
