path,purpose,should_be_public,http_status,pricing_status,link_status,notes,last_checked_utc
/,Homepage conversion surface,yes,200,correct,working,"$32/event and $149/season pass present",2026-04-03T20:16:00Z
/tour/,Product tour + comparison,yes,200,correct,working,"pricing row shows $149/season pass vs $32/event",2026-04-03T20:16:00Z
/pricing/,Pricing + checkout entry,yes,200,correct,working,"hero and CTAs aligned to canonical pricing",2026-04-03T20:16:00Z
/demo/,Demo directory + CTA,yes,200,correct,working,"CTA shows $32/event",2026-04-03T20:16:00Z
/pro/,Affiliate landing economics,yes,200,incorrect,working,"contains '$149 per scramble event'",2026-04-03T20:16:00Z
/affiliate/,Affiliate tool page,yes (temporary),200,n/a,working,"duplicate with /affiliates/",2026-04-03T20:16:00Z
/affiliates/,Affiliate landing,yes,200,n/a,working,"duplicate with /affiliate/",2026-04-03T20:16:00Z
/marketing/,Internal route,no,404,n/a,blocked,"not publicly exposed in this snapshot",2026-04-03T20:16:00Z
/gtm/,Internal route,no,404,n/a,blocked,"not publicly exposed in this snapshot",2026-04-03T20:16:00Z
/ads/,Internal route,no,404,n/a,blocked,"not publicly exposed in this snapshot",2026-04-03T20:16:00Z
/join/,Legacy alias,yes (redirect),301,n/a,working,"redirects to /register/",2026-04-03T20:16:00Z
/about/,Legacy alias,yes (redirect),301,n/a,working,"redirects to /tour/",2026-04-03T20:16:00Z
/games/stroke-play/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/match-play/",2026-04-03T20:16:00Z
/games/round-robin/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/nassau/",2026-04-03T20:16:00Z
/games/chapman/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/best-ball/",2026-04-03T20:16:00Z
