route,purpose,should_be_public,live_status,pricing_status,links_status,owner_follow_up
/,Homepage conversion funnel,yes,200,season_wording_drift,working,Founding Engineer (copy normalization)
/tour/,Tour explainer + pricing compare,yes,307_self_redirect_loop,blocked_live_signoff,broken,BET-280/BET-344
/pricing/,Public pricing page,yes,404_event_not_found,blocked_live_signoff,broken,BET-342/BET-334/BET-281
/demo/,Interactive demo entry,yes,200,event_price_correct,working,Founding Engineer + Spotter QA
/create/,Checkout + event creation,yes,200_local_source_audited,season_wording_drift,working,Founding Engineer (copy normalization)
/affiliate/,Legacy affiliate route,redirect_to_/affiliates,301_to_/affiliates,n/a,working_redirect,Keep canonical /affiliates/
/affiliates/,Affiliate landing,yes,200,n/a,working,Track duplicate entry cleanup BET-237
/marketing/,Internal docs path,no,404,n/a,blocked_public_access,Maintain blocked
/gtm/,Internal docs path,no,404,n/a,blocked_public_access,Maintain blocked
/ads/,Internal docs path,no,404,n/a,blocked_public_access,Maintain blocked
/join/,Legacy route,yes_redirect,301_to_/create/,n/a,working_redirect,Known issue resolved by redirect
/about/,Legacy route,yes_redirect,301_to_/overview/,n/a,working_redirect,Known issue resolved by redirect
/games/stroke-play/,Legacy game link,yes_redirect,301_to_/games/,n/a,working_redirect,Known issue resolved by redirect
/games/round-robin/,Legacy game link,yes_redirect,301_to_/games/,n/a,working_redirect,Known issue resolved by redirect
/games/chapman/,Legacy game link,yes_redirect,301_to_/games/,n/a,working_redirect,Known issue resolved by redirect
