"identifier","priority","status","title","assignment"
"BET-355","critical","in_progress","Bug: Demo event page JS parse error prevents demo content/odds/settlement rendering","assigned"
"BET-404","critical","blocked","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","assigned"
"BET-354","critical","in_review","Bug: /pricing/ returns 404, blocking Stripe checkout entry","assigned"
"BET-353","critical","blocked","Bug: /tour/ enters infinite 307 redirect loop and never resolves","assigned"
"BET-342","critical","todo","Bug: /pricing/ returns 404 instead of pricing page","assigned"
"BET-279","critical","todo","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","assigned"
"BET-129","critical","in_review","Bug: Demo game pages fail to render market/score content due JS syntax error","assigned"
"BET-192","critical","todo","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","assigned"
"BET-424","high","todo","Bug: /tour mobile ""Try the Demo"" nav link fails 56px touch-target requirement","assigned"
"BET-403","high","blocked","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","assigned"
"BET-243","high","in_review","Bug: /api/ghin/debug endpoint is publicly reachable in production","assigned"
"BET-366","high","todo","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","assigned"
"BET-349","high","in_progress","Bug: Homepage /cards/* links return 404 from game format section","assigned"
"BET-335","high","todo","Bug: Homepage and courses pages expose internal links that 404","assigned"
"BET-334","high","in_progress","Bug: Public pricing page /pricing/ returns 404 Event not found","assigned"
"BET-281","high","todo","Bug: /pricing/ returns 404 Event Not Found","assigned"
"BET-267","high","todo","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","assigned"
"BET-266","high","in_progress","Bug: /create still uses legacy $29 event pricing in live cost calculations","assigned"
"BET-137","high","blocked","Bug: partial-round settlement logic is not used in production settlement path","assigned"
"BET-407","critical","blocked","Core JS demo simulation visibility fix: mutate odds + normalize feed ts + deterministic warm-up","assigned"
"BET-268","high","blocked","Spotter QA validation for Sprint 3 game flow UX","assigned"
"BET-38","high","blocked","Full site QA crawl: find all 404s, broken links, mobile issues","assigned"
"BET-322","critical","in_progress","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","assigned"
"BET-327","critical","in_progress","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","assigned"
"BET-246","critical","in_progress","Pricing parity hardening: Stripe $32 event / $149 season","assigned"
"BET-386","high","in_progress","Pricing audit sign-off for core marketing pages","assigned"
"BET-352","high","blocked","Manual device QA follow-up: /tour routing validation on physical iPhone browsers","assigned"
"BET-365","high","blocked","Mobile UX hardening pass: eliminate overflow and raise tap/typography readability on key pages","assigned"
"BET-328","high","blocked","Pricing consistency audit handoff","assigned"
"BET-296","high","blocked","QA verification: /tour route no longer loops on mobile + desktop","assigned"
"BET-186","high","blocked","QA: Verify Heritage game panels on mobile and 56px touch targets","assigned"
"BET-261","high","in_review","Sprint 3 UX closeout against game-flow spec","assigned"
"BET-113","high","blocked","Access control: internal pages with -private suffix are publicly reachable","assigned"
"BET-212","high","blocked","Unblock Shank checkout conflicts on assigned backend tickets","assigned"
"BET-54","high","blocked","Verify Resend domain and test welcome email delivery","assigned"
"BET-53","high","blocked","Verify and test Stripe end-to-end: create event, pay, activate","assigned"
"BET-161","high","blocked","SMOKE TEST: All 7 demo pages load with real data","assigned"
"BET-160","high","blocked","SMOKE TEST: Course search in Quick Start and create wizard","assigned"
