page_or_file,element,current_price,correct_price,status,notes
index.html,Homepage pricing cards and CTA copy,$32/event and $149/season pass,$32/event and $149/season pass,CORRECT,Source copy is canonical
/tour/ (live),Route availability,HTTP 307 self-redirect loop,Page should load and show $32/event + $149/season pass,BLOCKED,Live route loops to /tour/
tour/index.html,Tour comparison pricing row,$149/season pass and $32/event,$32/event and $149/season pass,CORRECT,Source pricing values are canonical
/pricing/ (live),Route availability,HTTP 404,Page should load and show $32/event + $149/season pass,BLOCKED,Live pricing page unavailable
pricing/index.html,Pricing hero/cards/CTAs,$32/event and $149/season pass,$32/event and $149/season pass,CORRECT,Source copy is canonical
/demo/ (live),Demo CTA and support copy,Loads 200 and presents $32/event,$32/event and $149/season pass,CORRECT,Demo page live and price copy aligns for event tier
create/index.html,Hardcoded event price variable,isTeam ? 149 : 29,isTeam ? 149 : 32,INCORRECT,Event price still uses 29 in cost math
create/index.html,Plan badge/price label,$149/season,$149/season pass,INCORRECT,Season wording drift persists
worker.js,WAGGLE_LABELS season labels,$149/season,$149/season pass,INCORRECT,Canonical wording not fully normalized
worker.js,Prompt copy segment labels,$149/season,$149/season pass,INCORRECT,Ads/prompt strings still old wording
emails/outreach/ca-golf-sequence.html,Multiple pricing references,$149/season,$149/season pass,INCORRECT,Recurring sequence still old season wording
emails/outreach/fl-charity-sequence.html,Pricing bullet,$149/season,$149/season pass,INCORRECT,Recurring option wording drift
emails/affiliate-welcome.html,Commission tier reference,$149/season,$149/season pass,INCORRECT,Affiliate template still old season wording
emails/SEQUENCE.md,Pricing policy note,$149/season pass,$149/season pass,CORRECT,Guidance doc is canonical
