"identifier","priority","status","title","assignee","created_by_spotter","p0_p1","assignment_state","updated_at"
"BET-446","critical","in_review","Regression: /pricing season wording drifted to $149/season (canonical is $149/season pass)","35944e2b-5356-4b0c-8a24-6a850299b788","no","yes","assigned","2026-04-03T23:18:09.707Z"
"BET-476","critical","in_review","Bug: $32/event checkout bypasses Stripe and creates live event directly","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T23:15:09.199Z"
"BET-457","critical","blocked","Bug: Settlement view crashes on /stag-night/#settle with ReferenceError: players is not defined","c36a36d6-567b-415a-bd2b-e786a1748d15","yes","yes","assigned","2026-04-03T21:23:47.282Z"
"BET-404","critical","blocked","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T20:48:01.786Z"
"BET-354","critical","in_review","Bug: /pricing/ returns 404, blocking Stripe checkout entry","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T19:24:00.969Z"
"BET-353","critical","blocked","Bug: /tour/ enters infinite 307 redirect loop and never resolves","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T18:55:54.518Z"
"BET-342","critical","todo","Bug: /pricing/ returns 404 instead of pricing page","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T18:13:36.897Z"
"BET-279","critical","todo","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T16:15:40.318Z"
"BET-129","critical","in_review","Bug: Demo game pages fail to render market/score content due JS syntax error","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T15:28:33.110Z"
"BET-192","critical","todo","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T15:04:46.893Z"
"BET-516","high","in_progress","Bug: /b/ page loads missing Playfair font asset (404)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T23:43:28.163Z"
"BET-517","high","blocked","Bug: /demo/ odds values remain static during auto-simulation window","c36a36d6-567b-415a-bd2b-e786a1748d15","yes","yes","assigned","2026-04-03T23:42:41.553Z"
"BET-186","high","in_progress","QA: Verify Heritage game panels on mobile and 56px touch targets","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T23:41:24.368Z"
"BET-496","high","in_review","Bug: 'Final results' demo settlement screen shows no scored data","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T23:40:11.102Z"
"BET-243","high","in_review","Bug: /api/ghin/debug endpoint is publicly reachable in production","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","yes","yes","assigned","2026-04-03T23:30:38.294Z"
"BET-335","high","todo","Bug: Homepage and courses pages expose internal links that 404","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T23:27:41.355Z"
"BET-498","high","in_progress","Bug: Legacy conversion URLs return 404 on production (/join, /about, and 3 game URLs)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T23:26:27.286Z"
"BET-38","high","blocked","Full site QA crawl: find all 404s, broken links, mobile issues","87fcc8b8-b4b9-4a33-8358-c49179985317","no","yes","assigned","2026-04-03T23:21:51.110Z"
"BET-499","high","blocked","Bug: Settlement engine still violates zero-sum in 20/44 matrix scenarios, including partial rounds","c36a36d6-567b-415a-bd2b-e786a1748d15","yes","yes","assigned","2026-04-03T23:18:48.009Z"
"BET-501","high","todo","Bug: Game format links 404 on /games/ (stroke play, round robin, chapman)","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T23:16:14.805Z"
"BET-491","high","in_progress","Bug: /games/chapman/ returns 404","35944e2b-5356-4b0c-8a24-6a850299b788","yes","yes","assigned","2026-04-03T23:15:08.258Z"
"BET-503","high","blocked","Fix settlement harness zero-sum regressions in app/js/betting.js (selection id mismatch + zero-winner guard)","65731875-1c15-4442-883d-af847186f81e","no","yes","assigned","2026-04-03T23:14:16.243Z"
"BET-473","high","blocked","Bug: Partial-round settlement breaks zero-sum in skins, best ball, wolf, and selected match play/stableford cases","65731875-1c15-4442-883d-af847186f81e","yes","yes","assigned","2026-04-03T22:44:09.119Z"
