page,purpose,should_be_public,http_status_or_behavior,pricing_status,link_status,notes,last_checked
/,Homepage conversion entry,yes,"307 -> /b/ then 200",mixed,working,"A/B redirect active; season copy mismatch persists in source",2026-04-03
/b/,Variant homepage conversion entry,yes,200,mixed,working,"Contains $32 CTA shorthand",2026-04-03
/create/,Event creation funnel,yes,"307 self-loop",unknown,broken,"Critical conversion blocker",2026-04-03
/tour/,Product tour and comparison,yes,"307 self-loop",unknown,broken,"Known pricing page now inaccessible live",2026-04-03
/pricing/,Canonical pricing page,yes,404,broken,broken,"Critical pricing route regression",2026-04-03
/demo/,Demo launcher,yes,200,mixed,working,"Loads; CTA shorthand + canonical support copy",2026-04-03
/overview/,Operations guide/public explainer,yes,"307 self-loop",unknown,broken,"Should be reachable for GM ops context",2026-04-03
/games/,Game catalog,yes,200,mixed,working,"Several child pages live",2026-04-03
/guides/,SEO guides hub,yes,200,mixed,working,"Guide CTAs use approved $32 shorthand",2026-04-03
/courses/,Course lookup,yes,200,not_priced,working,"No pricing copy expected",2026-04-03
/my-events/,Customer event retrieval,yes,200,not_priced,working,"No pricing copy expected",2026-04-03
/affiliates/,Affiliate signup,yes,200,mixed,working,"Duplicate with /affiliate/ via redirect",2026-04-03
/affiliate/,Legacy affiliate path,yes,"301 -> /affiliates/",mixed,working,"Duplicate surface still exists",2026-04-03
/pro/,Course pro landing,yes,200,incorrect,working,"Contains '$149 per scramble event' copy mismatch",2026-04-03
/partner/,Partner page,yes,"307 self-loop",unknown,broken,"Inaccessible",2026-04-03
/marketing/,Internal docs,no,404,n_a,working,"Now blocked publicly (expected)",2026-04-03
/gtm/,Internal docs,no,404,n_a,working,"Now blocked publicly (expected)",2026-04-03
/ads/,Internal docs,no,404,n_a,working,"Now blocked publicly (expected)",2026-04-03
/join/,Legacy route redirect,yes,"301 -> /create/ (currently loop target)",n_a,mixed,"Redirect target currently broken",2026-04-03
/about/,Legacy route redirect,yes,"301 -> /overview/ (currently loop target)",n_a,mixed,"Redirect target currently broken",2026-04-03
/games/stroke-play/,Legacy game route,yes,"301 -> /games/",n_a,working,"No longer true 404",2026-04-03
/games/round-robin/,Legacy game route,yes,"301 -> /games/",n_a,working,"No longer true 404",2026-04-03
/games/chapman/,Legacy game route,yes,"301 -> /games/",n_a,working,"No longer true 404",2026-04-03
