"issue","title","priority","status","assigned","assignee","is_spotter","is_p0_p1","updated_at"
"BET-302","Bug: Mobile touch targets violate 56px requirement in betting UI","medium","backlog","yes","Divot","no","no","2026-04-03T16:26:19.745Z"
"BET-164","SMOKE TEST: Settlement ceremony and share card","medium","blocked","yes","Spotter","yes","no","2026-04-03T16:22:08.024Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","yes","Caddie","no","no","2026-04-03T16:17:10.243Z"
"BET-286","Bug: /api/email-capture returns Internal server error for valid emails","medium","backlog","yes","Shank","no","no","2026-04-03T16:12:23.486Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","yes","Divot","no","no","2026-04-03T15:48:08.775Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","yes","Founding Engineer","no","no","2026-04-03T15:45:13.310Z"
"BET-254","Bug: Mobile touch targets and typography violate 56px / 14px QA requirements on core pages","medium","backlog","yes","Divot","no","no","2026-04-03T15:42:54.561Z"
"BET-242","QA sweep: verify public CTAs, pricing copy, and affiliate redirect","medium","backlog","yes","Spotter","yes","no","2026-04-03T15:32:43.029Z"
"BET-215","Bug: Drip campaign cadence mismatch (0/2/4/7/14 vs expected 0/3/7/14/21)","medium","backlog","yes","Shank","no","no","2026-04-03T15:10:08.011Z"
"BET-214","Bug: Outreach unsubscribe URL points to 404 path (/unsubscribe)","medium","backlog","yes","Shank","no","no","2026-04-03T15:08:43.926Z"
"BET-208","Bug: '/guides/' breadcrumb target resolves to 404 instead of Guides index","medium","backlog","yes","Shank","no","no","2026-04-03T15:05:16.420Z"
"BET-210","Bug: Demo share button fails 56px mobile touch target requirement","medium","backlog","yes","Divot","no","no","2026-04-03T15:04:22.509Z"
"BET-209","Bug: Affiliate signup accepts invalid emails and creates affiliate records","medium","backlog","yes","Shank","no","no","2026-04-03T15:04:22.466Z"
"BET-204","Bug: /pro missing required CTA link to /demo-scramble/","medium","backlog","yes","Divot","no","no","2026-04-03T14:56:13.799Z"
"BET-189","Bug: /affiliate/ and /affiliates/ both resolve (duplicate route surface)","medium","backlog","yes","Divot","no","no","2026-04-03T14:44:20.013Z"
"BET-183","Bug: Duplicate affiliate routes both resolve (/affiliate/ and /affiliates/)","medium","backlog","yes","Founding Engineer","no","no","2026-04-03T14:32:02.869Z"
"BET-117","Odds UI safety pass: verify dynamic odds rendering escapes user-controlled strings","medium","backlog","yes","Ace","no","no","2026-04-03T14:19:53.490Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","yes","Founding Engineer","no","no","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","yes","Founding Engineer","no","no","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","yes","Founding Engineer","no","no","2026-04-03T14:19:43.243Z"
"BET-130","Bug: Duplicate affiliate routes (/affiliate and /affiliates) both live","low","backlog","yes","Founding Engineer","no","no","2026-04-03T14:19:57.404Z"
"BET-303","Bug: /pricing/ route returns 404 while used as QA target page","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:19.794Z"
"BET-301","Bug: Literal template link /courses/${c.id} is rendered and 404s","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:19.685Z"
"BET-300","Bug: Internal /cards/* links on games pages return 404","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:19.497Z"
"BET-299","Bug: /about/ redirect target /overview/ loops and never resolves","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T16:26:19.366Z"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","todo","yes","Divot","no","yes","2026-04-03T16:24:00.881Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","yes","Founding Engineer","no","yes","2026-04-03T16:23:49.664Z"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","todo","yes","Spotter","yes","yes","2026-04-03T16:22:35.794Z"
"BET-287","Pricing consistency verification after $32/event + $149/season sweep","high","todo","no","unassigned","no","yes","2026-04-03T16:17:17.047Z"
"BET-282","Audit pricing consistency across public pages after CTA/route hardening","high","todo","yes","Caddie","no","yes","2026-04-03T16:16:06.092Z"
"BET-289","QA pass: validate CTA destinations and link integrity","high","todo","yes","Spotter","yes","yes","2026-04-03T16:15:15.199Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","yes","Spotter","yes","yes","2026-04-03T16:13:56.957Z"
"BET-284","QA sweep: CTA links + blocked internal routes + affiliate canonical redirect","high","todo","yes","Spotter","yes","yes","2026-04-03T16:10:06.588Z"
"BET-222","Infra unblock: remote Playwright mobile smoke runner for settle ceremony QA","high","in_progress","yes","Founding Engineer","no","yes","2026-04-03T16:07:52.746Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","yes","Founding Engineer","no","yes","2026-04-03T16:04:34.140Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","yes","Founding Engineer","no","yes","2026-04-03T16:02:30.729Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","yes","Spotter","yes","yes","2026-04-03T15:58:18.144Z"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","yes","Spotter","yes","yes","2026-04-03T15:54:59.365Z"
"BET-263","Bug: Core marketing pages fail 56px touch target and minimum text-size standard on mobile","high","backlog","yes","Divot","no","yes","2026-04-03T15:51:33.511Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","yes","Spotter","yes","yes","2026-04-03T15:46:42.504Z"
"BET-255","Bug: Internal links resolve to templated placeholder URLs that 404","high","backlog","yes","Founding Engineer","no","yes","2026-04-03T15:42:54.598Z"
"BET-253","Bug: Best ball settlement path missing from computeRoundPnL (returns $0 for all players)","high","backlog","yes","Ace","no","yes","2026-04-03T15:42:54.527Z"
"BET-252","Bug: Wolf settlement can be non-zero-sum in computeRoundPnL for 4+ player states","high","backlog","yes","Ace","no","yes","2026-04-03T15:42:54.500Z"
