path,purpose,public_status,http_status,pricing_status,link_health,notes,last_checked
/,Homepage conversion page,public,200,correct,working,"Canonical $32/event and $149/season pass present",2026-04-03T20:12:00-04:00
/tour/,Product tour + compare,public,200,correct,working,"No legacy $199 found",2026-04-03T20:12:00-04:00
/pricing/,Pricing + checkout entry,public,200,correct,working,"Canonical pricing present",2026-04-03T20:12:00-04:00
/demo/,Demo launcher,public,200,correct,working,"CTA copy includes $32/event",2026-04-03T20:12:00-04:00
/create/,Event setup flow,public,200,incorrect,working,"Live route still shows bare $149",2026-04-03T20:12:00-04:00
/affiliate/,Affiliate landing,public,200,n/a,working,"Duplicate surface with /affiliates/",2026-04-03T20:12:00-04:00
/affiliates/,Affiliate program page,public,200,n/a,working,"Duplicate surface with /affiliate/",2026-04-03T20:12:00-04:00
/marketing-private/,Internal marketing docs,should_be_internal,200,n/a,exposed,"Publicly accessible internal route",2026-04-03T20:12:00-04:00
/gtm-private/,Internal GTM docs,should_be_internal,200,n/a,exposed,"Publicly accessible internal route",2026-04-03T20:12:00-04:00
/ads-private/,Internal ads docs,should_be_internal,200,n/a,exposed,"Publicly accessible internal route",2026-04-03T20:12:00-04:00
/join/,Legacy join route,public_redirect,200,n/a,redirect,"Redirects to /register/",2026-04-03T20:12:00-04:00
/about/,Legacy about route,public_redirect,200,n/a,redirect,"Redirects to /tour/",2026-04-03T20:12:00-04:00
/games/stroke-play/,Legacy game route,public_redirect,200,n/a,redirect,"Redirects to /games/match-play/",2026-04-03T20:12:00-04:00
/games/round-robin/,Legacy game route,public_redirect,200,n/a,redirect,"Redirects to /games/nassau/",2026-04-03T20:12:00-04:00
/games/chapman/,Legacy game route,public_redirect,200,n/a,redirect,"Redirects to /games/best-ball/",2026-04-03T20:12:00-04:00
