page,element,current_price,correct_price,status,source
https://betwaggle.com/,Primary pricing blocks and CTAs,"$32/event and $149/season pass","$32/event and $149/season pass",PASS,live
https://betwaggle.com/tour/,Pricing comparison row,"$149/season pass and $32/event","$149/season pass and $32/event",PASS,live
https://betwaggle.com/pricing/,Hero + plan cards + season CTA,"$32/event and $149/season pass","$32/event and $149/season pass",PASS,live
https://betwaggle.com/demo/,Primary CTA + support copy,"$32/event","$32/event",PASS,live
https://betwaggle.com/create/,Scramble card badge,"$149","$149/season pass",FAIL,live
https://betwaggle.com/create/,Season price display,"$149","$149/season pass",FAIL,live
/home/eratner/betwaggle/create/index.html,Scramble badge + season tile,"$149/season","$149/season pass",FAIL,source
/home/eratner/betwaggle/worker.js,WAGGLE_LABELS and season labels,"$149/season","$149/season pass",FAIL,source
/home/eratner/betwaggle/worker.js,Drip subject text,"Lock in $32.","Lock in $32/event.",FAIL,source
/home/eratner/betwaggle/emails,Pricing mentions,"No $199 found; mostly canonical; one internal sequence guide still says $149/season","$32/event and $149/season pass",PARTIAL,source
core marketing pages (/,/tour,/pricing,/demo,/create),Legacy tour price,"No $199 found","No $199",PASS,live+source
