"identifier","priority","status","assignee","title","updated_at"
"BET-322","critical","in_progress","Wedge","CTO execution pack: April 3 priorities (demo live, Stripe parity, drip trigger, tappable odds, Sprint 3 UX)","2026-04-03T21:02:40.133Z"
"BET-407","critical","blocked","Founding Engineer","Core JS demo simulation visibility fix: mutate odds + normalize feed ts + deterministic warm-up","2026-04-03T20:55:09.551Z"
"BET-404","critical","blocked","Ace","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","2026-04-03T20:48:01.786Z"
"BET-442","critical","blocked","Founding Engineer","Protected-core patch: settle Nassau partial-final states with deterministic fallback","2026-04-03T20:45:31.888Z"
"BET-436","critical","blocked","Founding Engineer","Fix skins all-tied/no-carryover settlement: push stakes in protected core module","2026-04-03T20:41:43.904Z"
"BET-327","critical","in_progress","Founding Engineer","Finalize Stripe pricing consistency and Sprint 3 UX closeout on public surfaces","2026-04-03T20:35:56.183Z"
"BET-323","critical","blocked","Founding Engineer","Demo auto-simulation execution: make demo boards visibly live end-to-end","2026-04-03T20:24:08.939Z"
"BET-423","critical","todo","user:local-board","Board patch lane: protected core JS demo simulation visibility fix","2026-04-03T20:09:15.568Z"
"BET-344","critical","blocked","Shank","P0 route hardening: stabilize public pricing/tour paths and trailing-slash behavior","2026-04-03T19:38:23.600Z"
"BET-376","critical","backlog","Ace","Bug: Settlement math path for stableford/match play references undefined function and can crash","2026-04-03T19:25:11.716Z"
"BET-354","critical","in_review","Shank","Bug: /pricing/ returns 404, blocking Stripe checkout entry","2026-04-03T19:24:00.969Z"
"BET-369","critical","backlog","Wedge","Bug: Demo pages do not render live content/odds/settlement on fresh mobile visit","2026-04-03T19:13:27.716Z"
"BET-353","critical","blocked","Shank","Bug: /tour/ enters infinite 307 redirect loop and never resolves","2026-04-03T18:55:54.518Z"
"BET-304","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop, blocking event setup and checkout entry","2026-04-03T18:50:14.799Z"
"BET-308","critical","backlog","Shank","Bug: Email capture API returns 500 for valid email submissions","2026-04-03T18:49:53.806Z"
"BET-361","critical","backlog","Founding Engineer","Bug: Demo event pages fail to render due JavaScript parse error (Unexpected token else)","2026-04-03T18:44:01.225Z"
"BET-360","critical","backlog","Shank","Bug: /tour/ route stuck in infinite self-redirect loop","2026-04-03T18:44:01.202Z"
"BET-342","critical","todo","Founding Engineer","Bug: /pricing/ returns 404 instead of pricing page","2026-04-03T18:13:36.897Z"
"BET-347","critical","backlog","Shank","Bug: Checkout success/cancel redirects target /pricing/ which returns 404","2026-04-03T18:09:47.807Z"
"BET-336","critical","backlog","Shank","Bug: Email capture API returns 500 for valid and duplicate submissions","2026-04-03T17:53:08.084Z"
"BET-246","critical","in_progress","Founding Engineer","Pricing parity hardening: Stripe $32 event / $149 season","2026-04-03T16:44:25.306Z"
"BET-314","critical","backlog","Shank","Bug: Valid email capture submissions return INTERNAL_ERROR (500)","2026-04-03T16:44:07.729Z"
"BET-313","critical","backlog","Founding Engineer","Bug: Self-redirect loop blocks /create, /overview, and /tour on production","2026-04-03T16:44:07.558Z"
"BET-298","critical","backlog","Founding Engineer","Bug: /create/ enters infinite redirect loop and blocks signup checkout","2026-04-03T16:26:46.553Z"
"BET-297","critical","backlog","Founding Engineer","Bug: Redirect loop on /tour/ prevents page load","2026-04-03T16:26:46.259Z"
"BET-279","critical","todo","Founding Engineer","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","2026-04-03T16:15:40.318Z"
"BET-251","critical","backlog","Shank","Bug: Protected private/admin routes return 200 instead of 404 to unauthenticated users","2026-04-03T15:43:16.120Z"
"BET-129","critical","in_review","Founding Engineer","Bug: Demo game pages fail to render market/score content due JS syntax error","2026-04-03T15:28:33.110Z"
"BET-192","critical","todo","Founding Engineer","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","2026-04-03T15:04:46.893Z"
"BET-76","critical","blocked","Shank","Configure hello@betwaggle.com email routing","2026-04-03T14:17:13.310Z"
"BET-379","high","in_progress","Birdie","WRITE CODE: Build TX priority leads with real course websites","2026-04-03T21:07:40.995Z"
"BET-451","high","backlog","Founding Engineer","Bug: Demo odds remain static (no visible auto-simulation updates on demo event pages)","2026-04-03T21:07:03.188Z"
"BET-449","high","backlog","Ace","Bug: Settlement zero-sum violations in skins, match_play, and stableford (net flow -$250/-$325)","2026-04-03T21:07:03.151Z"
"BET-441","high","todo","Spotter","QA: Verify settlement stays exactly zero-sum across all bet types and partial rounds","2026-04-03T21:01:25.648Z"
"BET-448","high","backlog","Divot","Bug: Mobile typography below 14px body threshold on key pages","2026-04-03T21:01:08.957Z"
"BET-447","high","backlog","Founding Engineer","Bug: Both /affiliate/ and /affiliates/ resolve as live pages","2026-04-03T21:01:08.912Z"
"BET-365","high","blocked","Chip","Mobile UX hardening pass: eliminate overflow and raise tap/typography readability on key pages","2026-04-03T20:59:50.731Z"
"BET-446","high","backlog","Wedge","Regression: /pricing season wording drifted to $149/season (canonical is $149/season pass)","2026-04-03T20:55:12.323Z"
"BET-155","high","blocked","Shank","P0 FIX: Vegas/Banker/Bloodsome bets never settle","2026-04-03T20:54:36.241Z"
"BET-145","high","blocked","Shank","P0 FIX: vegas/banker/bloodsome bets never settle — trace and fix","2026-04-03T20:54:27.238Z"
"BET-137","high","blocked","Shank","Bug: partial-round settlement logic is not used in production settlement path","2026-04-03T20:54:27.182Z"
"BET-444","high","blocked","Founding Engineer","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","2026-04-03T20:49:37.835Z"
"BET-38","high","blocked","Spotter","Full site QA crawl: find all 404s, broken links, mobile issues","2026-04-03T20:48:20.111Z"
"BET-443","high","backlog","Shank","Normalize season-pass pricing copy to '$149/season pass' across core public pages + worker labels","2026-04-03T20:44:21.093Z"
"BET-318","high","blocked","Shank","P0 WRITE CODE: Enrich 80 course leads with real website URLs and emails","2026-04-03T20:43:43.039Z"
"BET-440","high","blocked","Founding Engineer","Implement settlement inclusion for Wolf/Match Play/Best Ball/Stableford in share/export P&L","2026-04-03T20:42:56.063Z"
"BET-438","high","blocked","Ace","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","2026-04-03T20:41:06.127Z"
"BET-433","high","blocked","Ace","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","2026-04-03T20:41:01.000Z"
