route,purpose,should_be_public,live_http_status,pricing_state,link_state,status,notes
/,Homepage and primary conversion funnel,yes,200,incorrect (season copy on live),working,action_needed,"Live still shows $149/season; source has pass wording"
/tour/,Product tour and value framing,yes,200,incorrect (season copy on live),working,action_needed,"Live pricing row still $149/season"
/pricing/,Pricing detail and checkout handoff,yes,200,incorrect (season copy on live),working,action_needed,"Live still serves $149/season"
/demo/,Interactive demo landing,yes,200,correct ($32/event),working,healthy,"Loads and CTA pricing is correct"
/create/,Event setup entrypoint,yes,200,not_fully_audited,working,monitor,"Core route healthy"
/overview/,Operations guide/long-form explainer,yes,200,n/a,working,healthy,"No pricing issue in this pass"
/games/,Games hub,yes,200,n/a,working,monitor,"Sub-route checks still include known 404s"
/affiliates/,Canonical affiliate page,yes,200,n/a,working,monitor,"Canonical route currently live"
/affiliate/,Legacy affiliate alias,yes,301,n/a,redirect_to_/affiliates/,healthy,"Duplicate exposure mitigated by redirect"
/marketing/,Internal docs alias,no,404,n/a,blocked_public_access,healthy,"Internal route blocked"
/gtm/,Internal docs alias,no,404,n/a,blocked_public_access,healthy,"Internal route blocked"
/ads/,Internal docs alias,no,404,n/a,blocked_public_access,healthy,"Internal route blocked"
/join/,Legacy marketing path,yes,301,n/a,redirect_to_/create/,healthy,"Legacy URL no longer 404"
/about/,Legacy about path,yes,301,n/a,redirect_to_/overview/,healthy,"Legacy URL no longer 404"
/games/stroke-play/,Legacy game URL,yes,404,n/a,broken,action_needed,"Still returns 404"
/games/round-robin/,Legacy game URL,yes,404,n/a,broken,action_needed,"Still returns 404"
/games/chapman/,Legacy game URL,yes,404,n/a,broken,action_needed,"Still returns 404"
