path,purpose,should_be_public,http_status,pricing_status,links_status,notes,last_checked_utc
/,Homepage + conversion entry,yes,200,correct,working,"$32/event and $149/season pass present",2026-04-03T19:42:35Z
/tour/,Product tour + comparison,yes,200,correct,working,"$32/event and $149/season pass present; no $199",2026-04-03T19:42:35Z
/pricing/,Pricing + checkout entry,yes,200,correct,working,"$32/event and $149/season pass present",2026-04-03T19:42:35Z
/demo/,Demo directory + CTA,yes,200,correct,working,"$32/event CTA present",2026-04-03T19:42:35Z
/create/,Event creation funnel,yes,200,mixed,working,"source strings include $149/season variants (amount correct)",2026-04-03T19:42:35Z
/pro/,Affiliate landing,yes,200,incorrect,working,"contains '$149 per scramble event' copy",2026-04-03T19:42:35Z
/affiliate/,Affiliate tool page,yes (temporary),200,n/a,working,"duplicate with /affiliates/",2026-04-03T19:42:35Z
/affiliates/,Affiliate landing,yes,200,n/a,working,"duplicate canonical path with /affiliate/",2026-04-03T19:42:35Z
/marketing/,Internal marketing console,no,404,n/a,blocked,"no public exposure in current live checks",2026-04-03T19:42:37Z
/gtm/,Internal GTM console,no,404,n/a,blocked,"no public exposure in current live checks",2026-04-03T19:42:37Z
/ads/,Internal ads console,no,404,n/a,blocked,"no public exposure in current live checks",2026-04-03T19:42:37Z
/join/,Legacy route alias,yes (redirect),301,n/a,working,"redirects to /register/",2026-04-03T19:42:35Z
/about/,Legacy route alias,yes (redirect),301,n/a,working,"redirects to /tour/",2026-04-03T19:42:35Z
/games/stroke-play/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/match-play/",2026-04-03T19:42:36Z
/games/round-robin/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/nassau/",2026-04-03T19:42:36Z
/games/chapman/,Legacy game alias,yes (redirect),301,n/a,working,"redirects to /games/best-ball/",2026-04-03T19:42:36Z
/cards/skins/,Game card demo page,yes,200,n/a,working,"card routes are currently live",2026-04-03T19:44:57Z
/cards/nassau/,Game card demo page,yes,200,n/a,working,"card routes are currently live",2026-04-03T19:44:57Z
/cards/wolf/,Game card demo page,yes,200,n/a,working,"card routes are currently live",2026-04-03T19:44:57Z
/cards/match-play/,Game card demo page,yes,200,n/a,working,"card routes are currently live",2026-04-03T19:44:57Z
/cards/scramble/,Game card demo page,yes,200,n/a,working,"card routes are currently live",2026-04-03T19:44:57Z
