"issue","title","priority","status","assigned","assignee","is_spotter","is_p0_p1","updated_at"
"BET-296","QA verification: /tour route no longer loops on mobile + desktop","high","todo","yes","Spotter","yes","yes","2026-04-03T16:22:35.794Z"
"BET-289","QA pass: validate CTA destinations and link integrity","high","todo","yes","Spotter","yes","yes","2026-04-03T16:15:15.199Z"
"BET-38","Full site QA crawl: find all 404s, broken links, mobile issues","high","blocked","yes","Spotter","yes","yes","2026-04-03T16:13:56.957Z"
"BET-284","QA sweep: CTA links + blocked internal routes + affiliate canonical redirect","high","todo","yes","Spotter","yes","yes","2026-04-03T16:10:06.588Z"
"BET-268","Spotter QA validation for Sprint 3 game flow UX","high","todo","yes","Spotter","yes","yes","2026-04-03T15:58:18.144Z"
"BET-265","QA regression: invalid eventSlug checkout guard","high","backlog","yes","Spotter","yes","yes","2026-04-03T15:54:59.365Z"
"BET-259","QA validation: mobile tap-target + selection feedback regression for odds UX","high","todo","yes","Spotter","yes","yes","2026-04-03T15:46:42.504Z"
"BET-250","QA pass: verify CTA targets and conversion paths on public pages","high","todo","yes","Spotter","yes","yes","2026-04-03T15:41:09.656Z"
"BET-247","QA regression: season pass checkout + pricing consistency","high","todo","yes","Spotter","yes","yes","2026-04-03T15:39:12.964Z"
"BET-229","SMOKE TEST: Verify all agent code changes don't break the site","high","todo","yes","Spotter","yes","yes","2026-04-03T15:23:56.154Z"
"BET-54","Verify Resend domain and test welcome email delivery","high","blocked","yes","Spotter","yes","yes","2026-04-03T15:10:30.087Z"
"BET-60","QA: Verify pricing and CTA changes across site","high","blocked","yes","Spotter","yes","yes","2026-04-03T15:00:09.800Z"
"BET-53","Verify and test Stripe end-to-end: create event, pay, activate","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:53:06.958Z"
"BET-161","SMOKE TEST: All 7 demo pages load with real data","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:44:50.377Z"
"BET-186","QA: Verify Heritage game panels on mobile and 56px touch targets","high","todo","yes","Spotter","yes","yes","2026-04-03T14:42:16.425Z"
"BET-160","SMOKE TEST: Course search in Quick Start and create wizard","high","blocked","yes","Spotter","yes","yes","2026-04-03T14:32:15.112Z"
"BET-175","QA handoff: verify pricing copy and CTA/link paths on core marketing pages","high","backlog","yes","Spotter","yes","yes","2026-04-03T14:17:35.336Z"
