"issue","title","priority","status","assignee","assignment_state","p0_p1","follow_up_daily","updated_at"
"BET-404","Bug: Settlement test suite fails zero-sum validation for skins/match play/stableford and partial rounds","critical","blocked","Ace","assigned","yes","yes","2026-04-03T20:48:01.786Z"
"BET-354","Bug: /pricing/ returns 404, blocking Stripe checkout entry","critical","in_review","Shank","assigned","yes","yes","2026-04-03T19:24:00.969Z"
"BET-353","Bug: /tour/ enters infinite 307 redirect loop and never resolves","critical","blocked","Shank","assigned","yes","yes","2026-04-03T18:55:54.518Z"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","todo","Founding Engineer","assigned","yes","yes","2026-04-03T18:13:36.897Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","todo","Founding Engineer","assigned","yes","yes","2026-04-03T16:15:40.318Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","Founding Engineer","assigned","yes","yes","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","Founding Engineer","assigned","yes","yes","2026-04-03T15:04:46.893Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","Shank","assigned","yes","yes","2026-04-03T20:54:27.182Z"
"BET-444","Bug: Mobile Safari/Chrome QA blocked because browser runtime deps are missing in Spotter runner","high","blocked","Founding Engineer","assigned","yes","yes","2026-04-03T20:49:37.835Z"
"BET-438","Bug: Settlement payout math omits Wolf, Match Play, Best Ball, and Stableford from settlement totals","high","blocked","Ace","assigned","yes","yes","2026-04-03T20:41:06.127Z"
"BET-433","Bug: Nassau partial-round final states never settle (bets remain active after 9 holes)","high","blocked","Ace","assigned","yes","yes","2026-04-03T20:41:01.000Z"
"BET-432","Bug: Skins tie settlement breaks zero-sum and logs uncorrectable violation","high","blocked","Ace","assigned","yes","yes","2026-04-03T20:39:12.437Z"
"BET-403","Bug: Demo auto-simulation does not visibly update odds/feed after initial load","high","blocked","Ace","assigned","yes","yes","2026-04-03T20:35:56.252Z"
"BET-391","Settlement math off zero-sum in skins/match play/stableford and partial-round flows","high","blocked","Ace","assigned","yes","yes","2026-04-03T20:25:00.802Z"
"BET-243","Bug: /api/ghin/debug endpoint is publicly reachable in production","high","in_review","Shank","assigned","yes","yes","2026-04-03T19:32:07.707Z"
"BET-366","Bug: demo-buddies mobile touch targets below 56px (share/header/nav controls)","high","todo","Founding Engineer","assigned","yes","yes","2026-04-03T18:59:01.331Z"
"BET-349","Bug: Homepage /cards/* links return 404 from game format section","high","in_progress","Founding Engineer","assigned","yes","yes","2026-04-03T18:23:07.648Z"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","todo","Founding Engineer","assigned","yes","yes","2026-04-03T17:51:04.163Z"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","in_progress","Founding Engineer","assigned","yes","yes","2026-04-03T17:46:42.045Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","todo","Founding Engineer","assigned","yes","yes","2026-04-03T16:23:49.664Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","todo","Founding Engineer","assigned","yes","yes","2026-04-03T16:04:34.140Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","in_progress","Founding Engineer","assigned","yes","yes","2026-04-03T16:02:30.729Z"
"BET-396","Both /affiliate/ and /affiliates/ resolve as live pages (canonical duplication)","medium","todo","Founding Engineer","assigned","no","no","2026-04-03T19:42:21.214Z"
"BET-357","Bug: Mobile touch target and text-size standards fail on key marketing pages","medium","in_review","Divot","assigned","no","no","2026-04-03T19:16:16.614Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","Caddie","assigned","no","no","2026-04-03T18:11:06.232Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","Founding Engineer","assigned","no","no","2026-04-03T16:31:13.165Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_review","Divot","assigned","no","no","2026-04-03T16:28:20.439Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","Founding Engineer","assigned","no","no","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","Founding Engineer","assigned","no","no","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","Founding Engineer","assigned","no","no","2026-04-03T14:19:43.243Z"
