page,element,current_price,correct_price,status,evidence,notes
/,Hero + primary CTA,$32/event,$32/event,correct,"index.html:1450,1452",Canonical event price aligned
/,Season card amount,$149/season,$149/season pass,incorrect,"index.html:2378,2379",Needs wording normalization to "season pass"
/,Footer season CTA,$149/season,$149/season pass,incorrect,"index.html:2733,2770",CTA copy drift
/tour/ (live),Route availability,N/A ($307 self-redirect),$32/event + $149/season pass,blocked,live check 2026-04-03 14:20 EDT,HTTP 307 loop to /tour/ prevents live sign-off
/tour/ (source),Pricing table season row,$149/season,$149/season pass,incorrect,tour/index.html:295,Season wording drift remains
/pricing/ (live),Route availability,N/A ($404),$32/event + $149/season pass,blocked,live check 2026-04-03 14:20 EDT,Public pricing route not reachable
/pricing/ (source),Hero and metadata season text,$149/season,$149/season pass,incorrect,"pricing/index.html:7,11,12,22,23,715",Multiple canonical copy mismatches
/pricing/ (source),Season CTA + period copy,$149/season,$149/season pass,incorrect,"pricing/index.html:772,781,789,847,871,910,947,959,960,968",Button/JS/banner copy drift
/demo/,Primary demo CTA,$32/event,$32/event,correct,"demo/index.html:448,451",Demo CTA aligned
/create/,Scramble badge,$149/season,$149/season pass,incorrect,create/index.html:485,Needs season pass wording
/create/,Season card display,$149/season,$149/season pass,incorrect,create/index.html:2633,Needs season pass wording
emails/affiliate-welcome.html,Season commission line,$149/season,$149/season pass,incorrect,emails/affiliate-welcome.html:50,Template wording drift
emails/drip-01..05,Event pricing mentions,$32/event,$32/event,correct,"emails/drip-01-welcome.html:35, drip-02-social-proof.html:35, drip-03-feature-spotlight.html:54,57, drip-04-urgency.html:35,39, drip-05-last-chance.html:9,37,45,48",No incorrect event price found
worker.js,Season labels/prompt,$149/season,$149/season pass,incorrect,"worker.js:2122,2125,4365,4370",Hardcoded season wording drift
core audited surfaces,Legacy premium price,$199,$32/event or $149/season pass,correct (not found),rg audit 2026-04-03 14:20 EDT,No $199 found in audited core pages/templates/worker
