route,file,title,purpose,visibility,live_status,pricing_status,link_health,notes,checked_at
/,index.html,"Waggle — Live Golf Sportsbook. 12 Games. No App.",Homepage,public,200,correct,working,"Primary entrypoint",2026-04-03T15:05:00-04:00
/admin/outreach/,admin/outreach/index.html,"Outreach Campaign Admin | Waggle",Internal docs/tooling,internal_candidate,200,n/a,working,"",2026-04-03T15:05:00-04:00
/ads-private/,ads-private/index.html,"Waggle — Ad Creative Brief",Internal docs/tooling,internal_candidate,200,n/a,working,"",2026-04-03T15:05:00-04:00
/affiliate/,affiliate/index.html,"Redirecting to Affiliates | Waggle",Affiliate,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/affiliates/,affiliates/index.html,"Partner with Waggle — Earn on Every Outing | Waggle Affiliates",Affiliate,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/app/,app/index.html,"Waggle — Your Group's Sportsbook",App route,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/app/overview/,app/overview/index.html,"GM Operations Manual — Turnberry Isle Member-Guest 2026",App route,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/app/whatif/,app/whatif/index.html,"What-If Analysis — MG 2026",App route,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/b/,b/index.html,"Waggle — No More Golf Math. Automatic Settlement.",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/dashboard/,cards/dashboard/index.html,"(none)",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/match-play/,cards/match-play/index.html,"BetWaggle - The Duel",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/nassau/,cards/nassau/index.html,"BetWaggle - The Triple Crown",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/scramble/,cards/scramble/index.html,"BetWaggle - The Team Trophy",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/settlement/,cards/settlement/index.html,"Settlement Ceremony Cards",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/skins/,cards/skins/index.html,"BetWaggle - The Auction House",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/cards/wolf/,cards/wolf/index.html,"BetWaggle - The War Room",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
/courses/,courses/index.html,"Find Your Course — Waggle",Marketing/content,public,200,n/a,working,"",2026-04-03T15:05:00-04:00
