page,element,current_price,correct_price,status,evidence,notes,last_checked_et
/,Hero and primary CTA,$32/event,$32/event,correct,"live / line 1531",CTA copy aligned,2026-04-03 17:06 ET
/,Season pricing card,"$149/season","$149/season pass",copy_mismatch,"index.html lines 2471-2472",Needs pass wording,2026-04-03 17:06 ET
/tour/,Top/mid/bottom CTAs,$32/event,$32/event,correct,"live /tour/ lines 131|210|272|304",No legacy $199 present,2026-04-03 17:06 ET
/tour/,Comparison table season row,"$149/season","$149/season pass",copy_mismatch,"tour/index.html line 295",Known wording drift remains,2026-04-03 17:06 ET
/pricing/,Event plan CTAs,$32/event,$32/event,correct,"live /pricing/ lines 716|750|771|908",Aligned,2026-04-03 17:06 ET
/pricing/,Season plan CTA + JS fallback,"$149/season","$149/season pass",copy_mismatch,"live /pricing/ lines 790|967|968",Needs pass wording in UI + JS text,2026-04-03 17:06 ET
/pricing/,Hero/meta copy,"$149/season","$149/season pass",copy_mismatch,"pricing/index.html lines 7|11|12|22|23|724",Meta + hero still use /season wording,2026-04-03 17:06 ET
/demo/,Primary CTA,$32/event,$32/event,correct,"live /demo/ line 448",Aligned,2026-04-03 17:06 ET
/create/,Package badges and pricing,"$149/season","$149/season pass",copy_mismatch,"create/index.html lines 494|2642",Create flow wording drift,2026-04-03 17:06 ET
worker.js,WAGGLE_LABELS season labels,"$149/season","$149/season pass",copy_mismatch,"worker.js line 2178",Backend-facing labels still /season,2026-04-03 17:06 ET
worker.js,CHECKOUT_TIERS season label,"$149/season","$149/season pass",copy_mismatch,"worker.js line 2181",Checkout label drift,2026-04-03 17:06 ET
emails/outreach/,Outreach templates (sampled),"$32/event + $149/season pass","$32/event + $149/season pass",correct,"rg scan in emails/outreach",No $199 in sampled outreach templates,2026-04-03 17:06 ET
emails/affiliate-welcome.html,Affiliate payout reference,$149/season pass,$149/season pass,correct,"emails/affiliate-welcome.html line 50",Aligned,2026-04-03 17:06 ET
repo-wide hardcoded scan,Legacy $199 check,not found,not found,correct,"rg '$199' (excluding docs/inventory/reports)",Historical mismatch not reproduced,2026-04-03 17:06 ET
