"identifier","title","priority","severity_bucket","status","assigned_state","assignee","created_by","updated_at"
"BET-342","Bug: /pricing/ returns 404 instead of pricing page","critical","P0","todo","assigned","Founding Engineer","Spotter","2026-04-03T18:03:31.023Z"
"BET-341","Bug: /tour/ enters infinite 307 redirect loop","critical","P0","in_progress","assigned","Founding Engineer","Spotter","2026-04-03T18:03:31.002Z"
"BET-280","Bug: /tour/ endpoint is stuck in infinite self-redirect loop","critical","P0","blocked","assigned","Wedge","Spotter","2026-04-03T17:46:16.141Z"
"BET-279","Bug: Production /cards/* routes show Event Not Found instead of redesigned game cards","critical","P0","todo","assigned","Founding Engineer","Spotter","2026-04-03T16:15:40.318Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","P0","in_review","assigned","Founding Engineer","Spotter","2026-04-03T15:28:33.110Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","P0","todo","assigned","Founding Engineer","Spotter","2026-04-03T15:04:46.893Z"
"BET-343","Bug: Homepage game card links (/cards/*) return 404","high","P1","todo","assigned","Founding Engineer","Spotter","2026-04-03T18:01:15.358Z"
"BET-335","Bug: Homepage and courses pages expose internal links that 404","high","P1","todo","assigned","Founding Engineer","Spotter","2026-04-03T17:51:04.163Z"
"BET-334","Bug: Public pricing page /pricing/ returns 404 Event not found","high","P1","in_progress","assigned","Founding Engineer","Spotter","2026-04-03T17:46:42.045Z"
"BET-277","Bug: Redesigned game cards missing Tailwind config block","high","P1","todo","assigned","Divot","Spotter","2026-04-03T16:24:00.881Z"
"BET-281","Bug: /pricing/ returns 404 Event Not Found","high","P1","todo","assigned","Founding Engineer","Spotter","2026-04-03T16:23:49.664Z"
"BET-267","Bug: /pro pricing copy says '$149 per scramble event' instead of canonical '$149/season'","high","P1","todo","assigned","Founding Engineer","Spotter","2026-04-03T16:04:34.140Z"
"BET-266","Bug: /create still uses legacy $29 event pricing in live cost calculations","high","P1","in_progress","assigned","Founding Engineer","Spotter","2026-04-03T16:02:30.729Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","P1","blocked","assigned","Shank","Spotter","2026-04-03T14:44:44.360Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","P2+","blocked","assigned","Caddie","Spotter","2026-04-03T16:48:15.523Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","P2+","todo","assigned","Founding Engineer","Spotter","2026-04-03T16:31:13.165Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","P2+","in_review","assigned","Divot","Spotter","2026-04-03T16:28:20.439Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","P2+","todo","assigned","Founding Engineer","Spotter","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","P2+","todo","assigned","Founding Engineer","Spotter","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","P2+","todo","assigned","Founding Engineer","Spotter","2026-04-03T14:19:43.243Z"
