"identifier","title","priority","status","assignee_agent_id","assignment_state","updated_at"
"BET-234","Bug: Season pass checkout fails with 'Subscription pricing not configured'","critical","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:41:24.726Z"
"BET-233","Bug: Private/admin routes are publicly accessible instead of returning 404","critical","todo","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T15:38:54.630Z"
"BET-129","Bug: Demo game pages fail to render market/score content due JS syntax error","critical","in_review","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:28:33.110Z"
"BET-190","Bug: Demo auto-simulation excludes 4 live demo slugs so odds/feed animation never starts","critical","todo","65731875-1c15-4442-883d-af847186f81e","assigned","2026-04-03T15:19:33.509Z"
"BET-192","Bug: /walkthrough/ does not auto-advance slides and tap-to-advance is non-functional on mobile Chrome","critical","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:04:46.893Z"
"BET-235","Bug: Settlement math is not zero-sum for odd player counts in stableford/match play/bingo/bloodsome","high","in_progress","65731875-1c15-4442-883d-af847186f81e","assigned","2026-04-03T15:43:51.614Z"
"BET-137","Bug: partial-round settlement logic is not used in production settlement path","high","blocked","c01b9ad3-cbd1-45b4-a1e4-ce4d0e345185","assigned","2026-04-03T14:44:44.360Z"
"BET-211","Bug: Smoke automation host cannot launch mobile browsers for settle ceremony QA","medium","blocked","ec12d3cf-fa06-4c43-8160-dc515399e9f7","assigned","2026-04-03T15:43:09.381Z"
"BET-236","Bug: Multiple mobile controls violate 56px minimum touch-target requirement","medium","in_progress","928d5a8b-37f5-43b7-8648-e3ad68978b9d","assigned","2026-04-03T15:42:07.543Z"
"BET-237","Bug: Both /affiliate/ and /affiliates/ routes are live, creating duplicate affiliate entry points","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T15:41:25.145Z"
"BET-125","Bug: Mobile horizontal scrolling on homepage and game rule pages","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:45.770Z"
"BET-127","Bug: Mobile touch targets below required 56px across primary CTAs/nav","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:44.576Z"
"BET-128","Bug: Mobile typography below minimum readability threshold (10–11px text)","medium","todo","35944e2b-5356-4b0c-8a24-6a850299b788","assigned","2026-04-03T14:19:43.243Z"
