route,purpose,should_be_public,live_http_status,pricing_status,link_status,notes,checked_at
/,Homepage conversion entry,yes,200,correct,working,"$32/event and $149/season pass present in source",2026-04-03
/tour/,Product tour and compare,yes,200,correct,working,"No $199 found; pricing table now canonical",2026-04-03
/pricing/,Canonical pricing page,yes,200,correct,working,"Meta/hero/table/CTAs use canonical pricing",2026-04-03
/demo/,Demo launcher and conversion bridge,yes,200,correct,working,"CTA/support copy includes $32/event",2026-04-03
/create/,Event setup flow,yes,200,correct,working,"Season badge shows $149/season pass",2026-04-03
/affiliate/,Legacy affiliate path,yes,200,n/a,working,"Duplicate with /affiliates/; consolidate recommendation still open",2026-04-03
/affiliates/,Canonical affiliates page,yes,200,n/a,working,"Both routes currently public",2026-04-03
/marketing/,Internal marketing docs,no,404,n/a,blocked,"Not publicly accessible now",2026-04-03
/gtm/,Internal GTM docs,no,404,n/a,blocked,"Not publicly accessible now",2026-04-03
/ads/,Internal ads docs,no,404,n/a,blocked,"Not publicly accessible now",2026-04-03
/join/,Legacy join route redirect,yes,301,n/a,redirects,"Redirects to /register/",2026-04-03
/about/,Legacy about route redirect,yes,301,n/a,redirects,"Redirects to /tour/",2026-04-03
/games/stroke-play/,Legacy games route redirect,yes,301,n/a,redirects,"Redirects to /games/match-play/",2026-04-03
/games/round-robin/,Legacy games route redirect,yes,301,n/a,redirects,"Redirects to /games/nassau/",2026-04-03
/games/chapman/,Legacy games route redirect,yes,301,n/a,redirects,"Redirects to /games/best-ball/",2026-04-03
